"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Olson, Matt","621566","ATL","2023","adj_xhr","24.43",12,30,25,"46.3","54",48.2,"5.8"
"Schwarber, Kyle","656941","PHI","2023","adj_xhr","25.7",10,25,25,"48.1","52",44.6,"7.4"
"García, Adolis","666969","TEX","2023","adj_xhr","26.49",12,36,15,"31.9","47",42.4,"4.6"
"Alonso, Pete","624413","NYM","2023","adj_xhr","23.36",11,26,21,"45.7","46",41.3,"4.7"
"Ohtani, Shohei","660271","LAA","2023","adj_xhr","24.04",9,21,23,"52.3","44",41,"3.0"
"Acuña Jr., Ronald","660670","ATL","2023","adj_xhr","26.41",9,26,20,"48.8","41",38.7,"2.3"
"Ozuna, Marcell","542303","ATL","2023","adj_xhr","28.64",7,25,19,"47.5","40",37.1,"2.9"
"Riley, Austin","663586","ATL","2023","adj_xhr","22.43",11,24,19,"48.7","39",37.8,"1.2"
"Betts, Mookie","605141","LAD","2023","adj_xhr","22.01",20,27,11,"28.2","39",32.8,"6.2"
"Seager, Corey","608369","TEX","2023","adj_xhr","21.74",12,26,15,"38.5","39",36.8,"2.2"
"Robert Jr., Luis","673357","CWS","2023","adj_xhr","24.83",9,26,15,"39.5","38",35.9,"2.1"
"Judge, Aaron","592450","NYY","2023","adj_xhr","24.07",12,21,18,"48.6","37",35.9,"1.1"
"Alvarez, Yordan","670541","HOU","2023","adj_xhr","26.71",15,26,16,"43.2","37",36.8,"0.2"
"Muncy, Max","571970","LAD","2023","adj_xhr","24.44",8,24,16,"44.4","36",35,"1.0"
"Soler, Jorge","624585","MIA","2023","adj_xhr","27.72",7,22,16,"44.4","36",33.5,"2.5"
"Soto, Juan","665742","SD","2023","adj_xhr","26.9",14,19,15,"42.9","35",31.4,"3.6"
"Martinez, J.D.","502110","LAD","2023","adj_xhr","23.01",4,37,4,"11.8","34",32.7,"1.3"
"Castellanos, Nick","592206","PHI","2023","adj_xhr","23.14",10,23,10,"29.4","34",28,"6.0"
"Walker, Christian","572233","AZ","2023","adj_xhr","25.49",11,27,11,"32.4","34",28.6,"5.4"
"Burger, Jake","669394","MIA","2023","adj_xhr","22.62",3,24,16,"47.1","34",32.7,"1.3"
"Albies, Ozzie","645277","ATL","2023","adj_xhr","25.01",11,27,11,"33.3","33",29.1,"3.9"
"Devers, Rafael","646240","BOS","2023","adj_xhr","26.16",12,21,20,"60.6","33",35.5,"-2.5"
"Rodríguez, Julio","677594","SEA","2023","adj_xhr","22.54",7,28,10,"31.3","32",29.1,"2.9"
"Torkelson, Spencer","679529","DET","2023","adj_xhr","23.75",13,23,16,"51.6","31",33.8,"-2.8"
"Paredes, Isaac","670623","TB","2023","adj_xhr","26.81",9,23,6,"19.4","31",23.6,"7.4"
"Semien, Marcus","543760","TEX","2023","adj_xhr","22.53",14,27,10,"32.3","31",31.5,"-0.5"
"Lindor, Francisco","596019","NYM","2023","adj_xhr","24.02",12,20,12,"38.7","31",27.6,"3.4"
"Rooker, Brent","667670","ATH","2023","adj_xhr","24.79",7,19,15,"50","30",29.5,"0.5"
"Machado, Manny","592518","SD","2023","adj_xhr","26.79",6,22,11,"36.7","30",27.3,"2.7"
"Witt Jr., Bobby","677951","KC","2023","adj_xhr","21.14",14,17,14,"46.7","30",28.7,"1.3"
"Raleigh, Cal","663728","SEA","2023","adj_xhr","22.46",13,18,11,"36.7","30",25.3,"4.7"
"Santander, Anthony","623993","BAL","2023","adj_xhr","27.27",7,22,16,"55.2","29",33.5,"-4.5"
"Freeman, Freddie","518692","LAD","2023","adj_xhr","21.94",14,21,12,"41.4","29",27.2,"1.8"
"Turner, Trea","607208","PHI","2023","adj_xhr","22.6",12,17,11,"37.9","29",26.4,"2.6"
"Tucker, Kyle","663656","HOU","2023","adj_xhr","24.7",9,17,18,"62.1","29",30.3,"-1.3"
"Bregman, Alex","608324","HOU","2023","adj_xhr","23.44",12,27,5,"17.2","29",23.4,"5.6"
"Henderson, Gunnar","683002","BAL","2023","adj_xhr","23.59",10,19,12,"41.4","29",27.7,"1.3"
"Thomas, Lane","657041","WSH","2023","adj_xhr","22.67",9,16,14,"50","28",26.1,"1.9"
"Marte, Ketel","606466","AZ","2023","adj_xhr","23.36",10,18,9,"33.3","27",24.7,"2.3"
"Carroll, Corbin","682998","AZ","2023","adj_xhr","21.59",5,16,12,"44.4","27",23.2,"3.8"
"Gorman, Nolan","669357","STL","2023","adj_xhr","22.76",6,18,11,"40.7","27",25.6,"1.4"
"Gurriel Jr., Lourdes","666971","AZ","2023","adj_xhr","23.94",11,21,9,"33.3","27",24,"3.0"
"Harper, Bryce","547180","PHI","2023","adj_xhr","25.22",7,23,7,"26.9","26",23.9,"2.1"
"Bellinger, Cody","641355","CHC","2023","adj_xhr","24.06",8,14,12,"46.2","26",22.9,"3.1"
"Arenado, Nolan","571448","STL","2023","adj_xhr","20.1",13,17,9,"34.6","26",21.9,"4.1"
"Jung, Josh","673962","TEX","2023","adj_xhr","21.37",7,22,6,"23.1","26",22.5,"3.5"
"Drury, Brandon","592273","LAA","2023","adj_xhr","23.56",7,21,7,"26.9","26",22.9,"3.1"
"Guerrero Jr., Vladimir","665489","TOR","2023","adj_xhr","27.54",11,19,12,"46.2","26",26,"0.0"
"Morel, Christopher","666624","CHC","2023","adj_xhr","25.1",3,14,13,"50","26",24.4,"1.6"
"Hernández, Teoscar","606192","SEA","2023","adj_xhr","23.34",10,27,9,"34.6","26",27,"-1.0"
"Suwinski, Jack","669261","PIT","2023","adj_xhr","21.37",5,12,17,"65.4","26",25.1,"0.9"
"Alvarez, Francisco","682626","NYM","2023","adj_xhr","24.57",4,12,13,"52","25",20.4,"4.6"
"Siri, Jose","642350","TB","2023","adj_xhr","26.4",3,15,11,"44","25",22.2,"2.8"
"Torres, Gleyber","650402","NYY","2023","adj_xhr","24.19",8,19,9,"36","25",24.5,"0.5"
"Tatis Jr., Fernando","665487","SD","2023","adj_xhr","24.92",8,16,9,"36","25",21,"4.0"
"Goldschmidt, Paul","502671","STL","2023","adj_xhr","22.79",13,20,10,"40","25",25,"0.0"
"Kepler, Max","596146","MIN","2023","adj_xhr","20.75",7,21,10,"41.7","24",26.1,"-2.1"
"Nimmo, Brandon","607043","NYM","2023","adj_xhr","19.01",13,17,13,"54.2","24",26.4,"-2.4"
"Casas, Triston","671213","BOS","2023","adj_xhr","25.62",7,20,10,"41.7","24",25,"-1.0"
"Reynolds, Bryan","668804","PIT","2023","adj_xhr","23.49",11,13,12,"50","24",23.6,"0.4"
"Adames, Willy","642715","MIL","2023","adj_xhr","23.85",9,21,4,"16.7","24",19.9,"4.1"
"Ramírez, José","608070","CLE","2023","adj_xhr","24.73",10,20,15,"62.5","24",29,"-5.0"
"Stanton, Giancarlo","519317","NYY","2023","adj_xhr","23.4",2,12,16,"66.7","24",25.3,"-1.3"
"Wisdom, Patrick","621550","CHC","2023","adj_xhr","20.99",1,17,9,"39.1","23",22,"1.0"
"Flores, Wilmer","527038","SF","2023","adj_xhr","24.16",9,17,8,"34.8","23",21.9,"1.1"
"Turner, Justin","457759","BOS","2023","adj_xhr","26.07",9,23,6,"26.1","23",23.5,"-0.5"
"Diaz, Yainer","673237","HOU","2023","adj_xhr","22.71",3,19,9,"39.1","23",23.7,"-0.7"
"Outman, James","681546","LAD","2023","adj_xhr","21.02",4,19,11,"47.8","23",21.8,"1.2"
"Arozarena, Randy","668227","TB","2023","adj_xhr","29.33",9,19,10,"43.5","23",23.9,"-0.9"
"Perez, Salvador","521692","KC","2023","adj_xhr","27.92",3,22,10,"43.5","23",25.8,"-2.8"
"McCormick, Chas","676801","HOU","2023","adj_xhr","23.87",10,20,5,"21.7","23",20.3,"2.7"
"Realmuto, J.T.","592663","PHI","2023","adj_xhr","22.74",6,20,7,"30.4","23",23.3,"-0.3"
"McMahon, Ryan","641857","COL","2023","adj_xhr","22.11",6,19,8,"34.8","23",20.9,"2.1"
"Santana, Carlos","467793","MIL","2023","adj_xhr","23.4",6,19,7,"30.4","23",21.3,"1.7"
"Steer, Spencer","668715","CIN","2023","adj_xhr","22.48",12,11,9,"39.1","23",18.4,"4.6"
"Candelario, Jeimer","600869","CHC","2023","adj_xhr","25.19",5,17,9,"40.9","22",20.7,"1.3"
"Abreu, José","547989","HOU","2023","adj_xhr","23.81",6,20,10,"45.5","22",24.6,"-2.6"
"Bell, Josh","605137","MIA","2023","adj_xhr","23.76",15,14,11,"50","22",23,"-1.0"
"Swanson, Dansby","621020","CHC","2023","adj_xhr","23.49",11,17,7,"31.8","22",17.6,"4.4"
