"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",0.3,4,"1192",45.1,"273","0.32","0.421","0.383",7.4,9.9,8.7,"0.272","0.367","0.342",23.5
"Lowe, Nathaniel",663993,"TEX","FF","4-Seam Fastball",0.3,3,"1125",44.6,"271","0.318","0.413","0.369",25.8,25.8,19.1,"0.281","0.429","0.348",49.4
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",-0.6,-7,"1085",40.7,"264","0.198","0.293","0.301",11.2,14.4,12.5,"0.207","0.353","0.307",32.6
"Straw, Myles",664702,"CLE","FF","4-Seam Fastball",-1.1,-11,"1052",44.6,"256","0.237","0.306","0.302",12.3,14.8,12.8,"0.255","0.343","0.313",31.9
"Edman, Tommy",669242,"STL","FF","4-Seam Fastball",0.7,6,"886",38.1,"254","0.304","0.464","0.379",14.9,13,14.2,"0.281","0.442","0.354",39.1
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",-0.3,-3,"1020",41.2,"241","0.259","0.368","0.356",10.4,10.4,9.8,"0.263","0.353","0.339",26.4
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",-0.1,-1,"930",33.5,"237","0.215","0.424","0.33",16.8,13.1,13,"0.251","0.487","0.358",42.4
"Hoskins, Rhys",656555,"PHI","FF","4-Seam Fastball",0.7,7,"926",32,"235","0.262","0.475","0.363",21.2,21.3,19.2,"0.245","0.456","0.349",46.1
"Arraez, Luis",650333,"MIN","FF","4-Seam Fastball",1.7,16,"943",39.1,"234","0.388","0.507","0.444",5.8,4.7,5.3,"0.32","0.474","0.39",31.4
"Frazier, Adam",624428,"SEA","FF","4-Seam Fastball",-0.6,-5,"907",41.4,"233","0.268","0.33","0.323",11.5,9.9,11.2,"0.283","0.392","0.35",31.6
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",1.5,15,"998",34.5,"232","0.289","0.584","0.412",30.2,25.4,17.8,"0.258","0.544","0.388",54.6
"Santander, Anthony",623993,"BAL","FF","4-Seam Fastball",0.2,2,"969",37.1,"232","0.209","0.418","0.329",20.5,19.8,15.1,"0.227","0.477","0.356",44.4
"Swanson, Dansby",621020,"ATL","FF","4-Seam Fastball",0.9,7,"831",30.2,"229","0.276","0.542","0.373",25.9,23.1,19.1,"0.261","0.583","0.39",59.7
"Profar, Jurickson",595777,"SD","FF","4-Seam Fastball",-0.2,-2,"996",35.7,"229","0.247","0.421","0.351",14.5,14,10.4,"0.252","0.406","0.35",37.5
"Bregman, Alex",608324,"HOU","FF","4-Seam Fastball",1.7,13,"784",31.1,"229","0.269","0.538","0.398",14.5,13.5,15.2,"0.275","0.522","0.399",48.7
