Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jake Diekman","- - -",0.26430517711171664,0.832335329,0.213367609,0.357326478,0.429305912,0.107784431,0.161676646,1256,2054,3310,0.38832487,0.32994924,0.28172589,0.13959391,0.50507614,0.35532995,"Jake Diekman",5003,518617
"Héctor Rondón","- - -",0.2986111111111111,1.5,0.17218543,0.496688741,0.331125827,0.04,0.16,294,496,790,0.32236842,0.36184211,0.31578947,0.19078947,0.45394737,0.35526316,"Hector Rondon",2391,444468
"John Brebbia","- - -",0.3162217659137577,0.691983122,0.199600798,0.327345309,0.473053892,0.122362869,0.075949367,922,1889,2811,0.36507937,0.34126984,0.29365079,0.18849206,0.45634921,0.35515873,"John Brebbia",12777,605154
"Felipe Vázquez","PIT",0.2912621359223301,1.4,0.214953271,0.457943925,0.327102803,0.028571428,0.114285714,242,515,757,0.38317757,0.3364486,0.28037383,0.17757009,0.46728972,0.35514019,"Felipe Vazquez",12076,553878
"Cy Sneed","HOU",0.3508771929824561,0.6,0.213114754,0.295081967,0.491803278,0.1,0.166666666,114,246,360,0.37096774,0.33870968,0.29032258,0.16129032,0.48387097,0.35483871,"Cy Sneed",16106,605482
"Carlos Hernández","- - -",0.3305439330543933,0.948979591,0.226720647,0.376518218,0.396761133,0.086734693,0.091836734,1000,1733,2733,0.41330645,0.33669355,0.25,0.12298387,0.52217742,0.35483871,"Carlos Hernandez",22713,672578
"Carson Palmquist","COL",0.27906976744186046,0.565217391,0.208791208,0.285714285,0.505494505,0.086956521,0.152173913,206,297,503,0.32258065,0.39784946,0.27956989,0.16129032,0.48387097,0.35483871,"Carson Palmquist",31612,687223
"Mike Burrows","PIT",0.3082706766917293,1.018518518,0.226950354,0.390070921,0.382978723,0.111111111,0.148148148,269,543,812,0.37588652,0.31914894,0.30496454,0.12765957,0.5177305,0.35460993,"Mike Burrows",24728,681347
"Robert Stephenson","- - -",0.26605504587155965,0.802721088,0.229651162,0.343023255,0.427325581,0.095238095,0.142857142,678,1450,2128,0.46685879,0.29971182,0.23342939,0.14121037,0.50432277,0.35446686,"Robert Stephenson",13594,596112
"Jesse Scholtens","- - -",0.33125,1.058823529,0.195402298,0.413793103,0.390804597,0.029411764,0.220588235,338,541,879,0.42857143,0.28571429,0.28571429,0.13714286,0.50857143,0.35428571,"Jesse Scholtens",19205,669947
