"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Glasnow, Tyler","607192","TB","2020","adj_xhr","24.39",2,5,14,"70","20",18.4,"1.6"
"Cole, Gerrit","543037","NYY","2020","adj_xhr","22.91",2,12,8,"44.4","18",16.9,"1.1"
"Williams, Trevor","592866","PIT","2020","adj_xhr","23.48",3,12,5,"33.3","15",12.4,"2.6"
"Paddack, Chris","663978","SD","2020","adj_xhr","23.07",1,9,7,"46.7","15",13.7,"1.3"
"Snell, Blake","605483","TB","2020","adj_xhr","24.41",1,10,5,"33.3","15",12.7,"2.3"
"Boyd, Matthew","571510","DET","2020","adj_xhr","24.58",2,9,7,"46.7","15",14.5,"0.5"
"Roark, Tanner","543699","TOR","2020","adj_xhr","23.56",4,9,6,"42.9","14",12.5,"1.5"
"Voth, Austin","608723","WSH","2020","adj_xhr","24.37",8,6,7,"50","14",12.1,"1.9"
"Matz, Steven","571927","NYM","2020","adj_xhr","23.98",5,6,5,"35.7","14",9.9,"4.1"
"Ray, Robbie","592662","TOR","2020","adj_xhr","22.27",4,7,7,"53.8","13",12.4,"0.6"
"Luzardo, Jesús","666200","ATH","2020","adj_xhr","22.46",1,11,5,"38.5","13",11.5,"1.5"
"Lynn, Lance","458681","TEX","2020","adj_xhr","23.16",6,8,5,"38.5","13",11.8,"1.2"
"Stripling, Ross","548389","TOR","2020","adj_xhr","21.7",3,15,1,"7.7","13",11.7,"1.3"
"Mills, Alec","621219","CHC","2020","adj_xhr","24.09",0,11,6,"46.2","13",13.1,"-0.1"
"Bumgarner, Madison","518516","AZ","2020","adj_xhr","23.37",6,8,9,"69.2","13",14,"-1.0"
"McCullers Jr., Lance","621121","HOU","2020","adj_xhr","22.26",5,12,3,"25","12",11.7,"0.3"
"Gibson, Kyle","502043","TEX","2020","adj_xhr","24.02",3,6,7,"58.3","12",11.7,"0.3"
"Lyles, Jordan","543475","TEX","2020","adj_xhr","22.96",6,8,6,"50","12",11.7,"0.3"
"Holland, Derek","502706","PIT","2020","adj_xhr","24.65",2,6,8,"66.7","12",12.2,"-0.2"
"Montas, Frankie","593423","ATH","2020","adj_xhr","23.24",1,7,6,"50","12",11.3,"0.7"
"Castellani, Ryan","624418","COL","2020","adj_xhr","23.27",3,6,7,"58.3","12",10.7,"1.3"
"Javier, Cristian","664299","HOU","2020","adj_xhr","22.61",5,10,2,"16.7","12",8.4,"3.6"
"Cease, Dylan","656302","CWS","2020","adj_xhr","22.78",2,9,6,"50","12",12.7,"-0.7"
"Means, John","607644","BAL","2020","adj_xhr","23.02",4,9,2,"16.7","12",8.9,"3.1"
"Teheran, Julio","527054","LAA","2020","adj_xhr","23.07",0,6,6,"50","12",11,"1.0"
"Kershaw, Clayton","477132","LAD","2020","adj_xhr","22.72",4,5,7,"58.3","12",10.2,"1.8"
"Minor, Mike","501985","ATH","2020","adj_xhr","22.65",3,9,5,"45.5","11",11.5,"-0.5"
"Lester, Jon","452657","CHC","2020","adj_xhr","22.46",7,6,4,"36.4","11",9.2,"1.8"
"Hendricks, Kyle","543294","CHC","2020","adj_xhr","22.44",3,7,4,"36.4","11",9.2,"1.8"
"Civale, Aaron","650644","CLE","2020","adj_xhr","24.14",6,10,5,"45.5","11",12.7,"-1.7"
"Young, Alex","622065","AZ","2020","adj_xhr","23.28",5,4,7,"63.6","11",10.6,"0.4"
"Wojciechowski, Asher","592879","BAL","2020","adj_xhr","24.72",4,5,6,"54.5","11",10.8,"0.2"
"Sánchez, Aníbal","434671","WSH","2020","adj_xhr","22.48",3,7,6,"54.5","11",11,"0.0"
"Anderson, Chase","502624","TOR","2020","adj_xhr","22.7",4,8,2,"18.2","11",8.9,"2.1"
"Davies, Zach","605200","SD","2020","adj_xhr","23.95",4,6,8,"72.7","11",11.9,"-0.9"
"Tanaka, Masahiro","547888","NYY","2020","adj_xhr","22.84",3,7,6,"54.5","11",11.9,"-0.9"
"Fiers, Mike","571666","ATH","2020","adj_xhr","23.64",5,6,6,"60","10",9.9,"0.1"
"Sandoval, Patrick","663776","LAA","2020","adj_xhr","22.21",1,5,5,"50","10",8.4,"1.6"
"Corbin, Patrick","571578","WSH","2020","adj_xhr","23.99",1,9,4,"40","10",10,"0.0"
"Happ, J.A.","457918","NYY","2020","adj_xhr","22.64",1,6,3,"30","10",7.5,"2.5"
"Fedde, Erick","607200","WSH","2020","adj_xhr","23.81",4,8,3,"30","10",8.3,"1.7"
"Yarbrough, Ryan","642232","TB","2020","adj_xhr","24.49",4,6,5,"50","10",8.9,"1.1"
"Scherzer, Max","453286","WSH","2020","adj_xhr","25.35",6,7,5,"50","10",9.6,"0.4"
"May, Dustin","669160","LAD","2020","adj_xhr","23.44",3,8,2,"20","10",9.2,"0.8"
"Weaver, Luke","596133","AZ","2020","adj_xhr","22.65",7,10,5,"50","10",12.5,"-2.5"
"Duffy, Danny","518633","KC","2020","adj_xhr","25.56",4,6,6,"60","10",10.4,"-0.4"
"Ponce de Leon, Daniel","594965","STL","2020","adj_xhr","24.67",0,5,6,"60","10",9.7,"0.3"
"Dunn, Justin","643290","SEA","2020","adj_xhr","21.65",6,7,4,"40","10",10.3,"-0.3"
"Bieber, Shane","669456","CLE","2020","adj_xhr","23.25",0,7,4,"44.4","9",9.3,"-0.3"
"Bielak, Brandon","656232","HOU","2020","adj_xhr","22.42",4,4,4,"44.4","9",7.8,"1.2"
"Wacha, Michael","608379","NYM","2020","adj_xhr","22.66",4,6,2,"22.2","9",7.1,"1.9"
"Milone, Tommy","543548","ATL","2020","adj_xhr","22.73",5,6,5,"55.6","9",8.8,"0.2"
"Wainwright, Adam","425794","STL","2020","adj_xhr","22.12",5,5,5,"55.6","9",9.6,"-0.6"
"Heaney, Andrew","571760","LAA","2020","adj_xhr","24.24",5,4,6,"66.7","9",8.6,"0.4"
"Nola, Aaron","605400","PHI","2020","adj_xhr","23.18",1,4,5,"55.6","9",9,"0.0"
"Greinke, Zack","425844","HOU","2020","adj_xhr","24.39",14,6,4,"44.4","9",9.4,"-0.4"
"Carrasco, Carlos","471911","CLE","2020","adj_xhr","22.57",1,5,4,"44.4","9",7.5,"1.5"
"Bauer, Trevor","545333","CIN","2020","adj_xhr","24.38",1,5,3,"33.3","9",6.7,"2.3"
"Manaea, Sean","640455","ATH","2020","adj_xhr","23.97",5,5,4,"44.4","9",8.5,"0.5"
"Freeland, Kyle","607536","COL","2020","adj_xhr","22.81",2,6,6,"66.7","9",10.7,"-1.7"
"López, Reynaldo","625643","CWS","2020","adj_xhr","22.71",3,3,5,"55.6","9",7.2,"1.8"
"Godley, Zack","643327","BOS","2020","adj_xhr","22.8",2,6,3,"33.3","9",7.8,"1.2"
"Maeda, Kenta","628317","MIN","2020","adj_xhr","24.87",2,5,4,"44.4","9",8.2,"0.8"
"Cueto, Johnny","456501","SF","2020","adj_xhr","22.8",2,2,7,"77.8","9",8.3,"0.7"
"Wright, Kyle","657140","ATL","2020","adj_xhr","22.84",2,4,5,"55.6","9",8.7,"0.3"
"Gallen, Zac","668678","AZ","2020","adj_xhr","22.82",1,6,6,"66.7","9",9.1,"-0.1"
"Woodruff, Brandon","605540","MIL","2020","adj_xhr","22.58",3,7,3,"33.3","9",8.8,"0.2"
"Skubal, Tarik","669373","DET","2020","adj_xhr","24.86",4,3,6,"66.7","9",8.5,"0.5"
"Buehler, Walker","621111","LAD","2020","adj_xhr","24.14",2,7,4,"44.4","9",7.7,"1.3"
"Hembree, Heath","592390","PHI","2020","adj_xhr","22.87",2,9,2,"22.2","9",7.5,"1.5"
"Senzatela, Antonio","622608","COL","2020","adj_xhr","22.6",5,5,3,"33.3","9",7.4,"1.6"
"Gausman, Kevin","592332","SF","2020","adj_xhr","22.76",3,7,3,"37.5","8",7.7,"0.3"
"Singer, Brady","663903","KC","2020","adj_xhr","25.33",4,5,4,"50","8",7.4,"0.6"
"Valdez, Framber","664285","HOU","2020","adj_xhr","22.27",3,6,3,"37.5","8",6.8,"1.2"
