Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Joe Musgrove","- - -",-7.751873552799225,23.12853829190135,13.814298901706934,19.67799897491932,-7.020080268383026,,,-0.18509726725881626,0.8213259336612695,0.7183722777798718,0.8434633079691093,-0.7229742809869234,,,"Joe Musgrove",12970,605397
"Andrew Chafin","- - -",3.163476701825857,25.531517878174782,,,0.4409877546131611,,,0.09108772536210358,1.3174157831875533,,,2.756173466332257,,,"Andrew Chafin",12988,605177
"Anthony DeSclafani","- - -",-10.737342476844788,17.27757742255926,,-5.458463240414858,-3.4931623339653015,2.6899998486042023,,-0.2715564612252096,0.6310291242717042,,-0.6038123053556259,-0.5661527283574233,2.101562381722033,,"Anthony DeSclafani",13050,543101
"Yu Darvish","- - -",-2.3916673064231873,22.508377075195312,25.80872404575348,21.95329537987709,0.23501001298427582,9.646767884492874,,-0.049982597835385306,0.9533408333416057,0.551350652547607,1.52665475520703,0.1546118506475499,1.0059194874340849,,"Yu Darvish",13074,506433
"Gerrit Cole","- - -",97.27988862991333,51.83950412273407,0.7729988098144531,5.928815733641386,1.6531513780355453,,,1.2129661923929342,1.5328061538360163,0.11284654157875229,0.2661048354417139,0.12638772003329857,,,"Gerrit Cole",13125,543037
"Eduardo Rodriguez","- - -",12.271313726902008,-7.80503636598587,-8.417955249547958,0.3126606047153473,-5.0998105853796005,,,0.16672980607203816,-0.9647758177980063,-0.34163779421866713,0.3678360055474674,-0.17800385987363354,,,"Eduardo Rodriguez",13164,593958
"Zach Davies","- - -",-43.15031814575195,-2.6815185546875,-7.6660475730896,-6.502671808004379,26.48198366165161,,,-0.8256853835773431,-2.73624342315051,-0.7635505550886056,-1.22691920905743,0.8165890737481224,,,"Zach Davies",13183,605200
"Ross Stripling","- - -",-17.97972923517227,-4.1895085871219635,1.2108924388885498,5.669146537780762,-3.851584404706955,,,-0.4817719516391284,-0.23953736918936328,0.5793743726739473,0.4281832732462811,-0.21711298786397715,,,"Ross Stripling",13273,548389
"Hoby Milner","- - -",6.561376929283142,8.181617632508278,,,-2.632251776754856,,,0.25944550926386484,0.477340585327204,,,-0.3366050865415417,,,"Hoby Milner",13346,571948
"Steven Matz","- - -",4.037977397441864,-9.997970629483461,,-12.8715091496706,2.004206746816635,,,0.07178626484341091,-1.3348425406519975,,-0.7670744427694041,0.08120772880132233,,,"Steven Matz",13361,571927
"Dylan Floro","- - -",31.837652906775475,1.0859827995300293,2.1387055814266205,,0.5040999837219715,,,1.0018141254491968,0.3963440874197187,0.24526440153975004,,0.07130127068203275,,,"Dylan Floro",13394,571670
