"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Seager, Corey","608369","LAD","2020","adj_xhr","20.25",8,13,12,"52.2","23",23.4,"-0.4"
"Voit, Luke","572228","NYY","2020","adj_xhr","24.53",1,11,12,"52.2","23",19.8,"3.2"
"Ozuna, Marcell","542303","ATL","2020","adj_xhr","25.03",5,8,16,"76.2","21",22.6,"-1.6"
"Abreu, José","547989","CWS","2020","adj_xhr","23.76",8,10,9,"45","20",18.3,"1.7"
"Tatis Jr., Fernando","665487","SD","2020","adj_xhr","25.46",5,14,11,"57.9","19",20.3,"-1.3"
"Springer, George","543807","HOU","2020","adj_xhr","21.67",4,6,13,"72.2","18",16.7,"1.3"
"Betts, Mookie","605141","LAD","2020","adj_xhr","21.3",6,15,4,"22.2","18",13.6,"4.4"
"Machado, Manny","592518","SD","2020","adj_xhr","26.79",5,9,10,"55.6","18",17.2,"0.8"
"Lowe, Brandon","664040","TB","2020","adj_xhr","23.12",0,16,6,"33.3","18",17.1,"0.9"
"Myers, Wil","571976","SD","2020","adj_xhr","23.27",6,13,7,"41.2","17",16.9,"0.1"
"Duvall, Adam","594807","ATL","2020","adj_xhr","23",8,8,7,"41.2","17",13.1,"3.9"
"Trout, Mike","545361","LAA","2020","adj_xhr","24.82",3,9,10,"58.8","17",17.2,"-0.2"
"Arozarena, Randy","668227","TB","2020","adj_xhr","23.04",1,15,3,"17.6","17",14.7,"2.3"
"Ramírez, José","608070","CLE","2020","adj_xhr","23.74",5,10,9,"52.9","17",17.2,"-0.2"
"Alonso, Pete","624413","NYM","2020","adj_xhr","22.78",3,7,10,"62.5","16",15.6,"0.4"
"Pollock, AJ","572041","LAD","2020","adj_xhr","22.85",4,11,7,"43.8","16",14.2,"1.8"
"Hernández, Teoscar","606192","TOR","2020","adj_xhr","24.54",4,7,8,"50","16",13.1,"2.9"
"Bellinger, Cody","641355","LAD","2020","adj_xhr","24.23",2,14,5,"31.3","16",16.1,"-0.1"
"Cruz, Nelson","443558","MIN","2020","adj_xhr","27.42",1,5,12,"75","16",15.6,"0.4"
"Calhoun, Kole","594777","AZ","2020","adj_xhr","24.6",2,14,3,"18.8","16",13.4,"2.6"
"Olson, Matt","621566","ATH","2020","adj_xhr","24.35",3,8,9,"56.3","16",16.3,"-0.3"
"Acuña Jr., Ronald","660670","ATL","2020","adj_xhr","25.88",3,8,7,"46.7","15",13.2,"1.8"
"Suárez, Eugenio","553993","CIN","2020","adj_xhr","25.86",4,12,6,"40","15",13.7,"1.3"
"Freeman, Freddie","518692","ATL","2020","adj_xhr","22.76",10,9,8,"53.3","15",16.2,"-1.2"
"Muncy, Max","571970","LAD","2020","adj_xhr","24.12",8,11,7,"46.7","15",15.9,"-0.9"
"Castellanos, Nick","592206","CIN","2020","adj_xhr","22.13",3,9,6,"42.9","14",12.8,"1.2"
"Jiménez, Eloy","650391","CWS","2020","adj_xhr","25.25",5,12,3,"21.4","14",11.1,"2.9"
"Soto, Juan","665742","WSH","2020","adj_xhr","25.99",5,5,8,"61.5","13",12.5,"0.5"
"Sanó, Miguel","593934","MIN","2020","adj_xhr","27.6",2,8,7,"53.8","13",14.5,"-1.5"
"Hiura, Keston","669374","MIL","2020","adj_xhr","22.3",3,10,5,"38.5","13",11.8,"1.2"
"Harper, Bryce","547180","PHI","2020","adj_xhr","24.64",5,10,6,"46.2","13",12.4,"0.6"
"Buxton, Byron","621439","MIN","2020","adj_xhr","21.94",4,6,6,"46.2","13",10.9,"2.1"
"Swanson, Dansby","621020","ATL","2020","adj_xhr","22.97",6,14,2,"15.4","13",11.2,"1.8"
"Rosario, Eddie","592696","MIN","2020","adj_xhr","23.61",4,11,4,"30.8","13",12.6,"0.4"
"Happ, Ian","664023","CHC","2020","adj_xhr","21.81",6,8,3,"23.1","13",8.3,"4.7"
"Winker, Jesse","608385","CIN","2020","adj_xhr","20.93",4,7,6,"50","12",11.1,"0.9"
"Núñez, Renato","600524","BAL","2020","adj_xhr","24.6",3,5,7,"58.3","12",10.5,"1.5"
"Robert Jr., Luis","673357","CWS","2020","adj_xhr","24.37",3,7,6,"50","12",12,"0.0"
"Flores, Wilmer","527038","SF","2020","adj_xhr","22.91",7,10,4,"33.3","12",11.1,"0.9"
"Turner, Trea","607208","WSH","2020","adj_xhr","21.25",4,9,4,"33.3","12",10.2,"1.8"
"Yelich, Christian","592885","MIL","2020","adj_xhr","22.81",5,9,3,"25","12",10.8,"1.2"
"Grichuk, Randal","545341","TOR","2020","adj_xhr","23.07",6,5,5,"41.7","12",8.9,"3.1"
"Judge, Aaron","592450","NYY","2020","adj_xhr","23.23",2,6,5,"41.7","12",9.6,"2.4"
"Rizzo, Anthony","519203","CHC","2020","adj_xhr","23.79",2,8,4,"36.4","11",10,"1.0"
"Gurriel Jr., Lourdes","666971","TOR","2020","adj_xhr","24.65",3,7,3,"27.3","11",8.7,"2.3"
"Realmuto, J.T.","592663","PHI","2020","adj_xhr","22.2",8,7,3,"27.3","11",9.1,"1.9"
"Votto, Joey","458015","CIN","2020","adj_xhr","22.87",6,7,2,"18.2","11",7.8,"3.2"
"Lewis, Kyle","641786","SEA","2020","adj_xhr","21.06",2,10,3,"27.3","11",9.5,"1.5"
"Perez, Salvador","521692","KC","2020","adj_xhr","25.05",3,7,7,"63.6","11",12.4,"-1.4"
"Devers, Rafael","646240","BOS","2020","adj_xhr","24.85",7,3,6,"54.5","11",8.8,"2.2"
"Bogaerts, Xander","593428","BOS","2020","adj_xhr","25.23",6,8,4,"36.4","11",10.5,"0.5"
"Correa, Carlos","621043","HOU","2020","adj_xhr","24.71",2,10,4,"36.4","11",10.8,"0.2"
"Story, Trevor","596115","COL","2020","adj_xhr","22.62",4,4,8,"72.7","11",11.2,"-0.2"
"Anderson, Brian","605119","MIA","2020","adj_xhr","24.72",2,6,8,"72.7","11",11.8,"-0.8"
"Santander, Anthony","623993","BAL","2020","adj_xhr","26.6",4,6,3,"27.3","11",7.4,"3.6"
"d'Arnaud, Travis","518595","ATL","2020","adj_xhr","22.77",3,9,5,"45.5","11",11.7,"-0.7"
"Schwarber, Kyle","656941","CHC","2020","adj_xhr","24.2",5,7,5,"45.5","11",10.9,"0.1"
"Sánchez, Gary","596142","NYY","2020","adj_xhr","26.4",2,4,8,"72.7","11",10.4,"0.6"
"Tucker, Kyle","663656","HOU","2020","adj_xhr","23.41",5,14,2,"20","10",11.5,"-1.5"
"Yastrzemski, Mike","573262","SF","2020","adj_xhr","22.83",4,10,6,"60","10",12.9,"-2.9"
"Hosmer, Eric","543333","SD","2020","adj_xhr","24.29",7,8,5,"50","10",10.8,"-0.8"
"Moran, Colin","592567","PIT","2020","adj_xhr","25.02",3,5,5,"50","10",9,"1.0"
"Altuve, Jose","514888","HOU","2020","adj_xhr","25.1",2,6,5,"50","10",9,"1.0"
"Renfroe, Hunter","592669","TB","2020","adj_xhr","25.57",5,3,5,"50","10",8.3,"1.7"
"Anderson, Tim","641313","CWS","2020","adj_xhr","25.68",4,11,2,"20","10",9.8,"0.2"
"Rios, Edwin","621458","LAD","2020","adj_xhr","23.85",2,7,3,"30","10",8.5,"1.5"
"Odor, Rougned","596059","TEX","2020","adj_xhr","23.79",1,5,6,"60","10",9.4,"0.6"
"Dickerson, Alex","543105","SF","2020","adj_xhr","20.84",1,7,4,"40","10",9.4,"0.6"
"Stanton, Giancarlo","519317","NYY","2020","adj_xhr","24.22",2,4,6,"60","10",9.7,"0.3"
"Encarnación, Edwin","429665","CWS","2020","adj_xhr","27.01",1,4,7,"70","10",9.8,"0.2"
"Moreland, Mitch","519048","SD","2020","adj_xhr","24.63",6,8,4,"40","10",9.9,"0.1"
"Canó, Robinson","429664","NYM","2020","adj_xhr","24.46",6,4,5,"50","10",8.1,"1.9"
"Cabrera, Miguel","408234","DET","2020","adj_xhr","26.19",2,8,5,"50","10",11.2,"-1.2"
"Grisham, Trent","663757","SD","2020","adj_xhr","22.02",1,6,8,"80","10",12.4,"-2.4"
"Smith, Will","669257","LAD","2020","adj_xhr","21.99",6,6,4,"40","10",7.9,"2.1"
"Smith, Dominic","642086","NYM","2020","adj_xhr","24.57",7,4,5,"50","10",8.6,"1.4"
"Gallo, Joey","608336","TEX","2020","adj_xhr","22.2",5,6,5,"50","10",9.6,"0.4"
"Gregorius, Didi","544369","PHI","2020","adj_xhr","22.34",4,10,2,"20","10",10,"0.0"
"Hoskins, Rhys","656555","PHI","2020","adj_xhr","22.48",2,7,7,"70","10",11.7,"-1.7"
"Chapman, Matt","656305","ATH","2020","adj_xhr","23.71",1,8,5,"50","10",10.6,"-0.6"
"Grandal, Yasmani","518735","CWS","2020","adj_xhr","24.43",5,1,8,"80","10",9.5,"0.5"
"McCutchen, Andrew","457705","PHI","2020","adj_xhr","22.53",5,5,4,"40","10",7.9,"2.1"
"LeMahieu, DJ","518934","NYY","2020","adj_xhr","21.87",5,7,2,"20","10",7.2,"2.8"
