"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Rogers, Trevor","669432","289","13.1",31.5,"115.2","89.7","77.9","93.9","88.3","451","159","411","140",48.4,"22",7.6,5.2
"Gordon, Colton","676467","286","19.3",38.5,"113.5","89","77.8","93.3","84.4","441","188","390","116",40.6,"33",11.5,8.7
"Williams, Trevor","592866","285","18.1",39.3,"115.8","90","79.8","92.5","87.4","442","184","390","116",40.7,"24",8.4,6.4
"Hancock, Emerson","676106","285","13.4",35.4,"112.3","89","77.6","93.2","86.2","434","161","391","121",42.5,"22",7.7,5.7
"Montero, Keider","672456","284","14.5",37.3,"112.4","89.1","78.2","93.3","84.7","432","174","392","112",39.4,"23",8.1,5.9
"Vasil, Mike","678024","280","8.4",30.4,"111.1","89.3","78.4","93","87.8","434","145","395","107",38.2,"20",7.1,4.7
"Miller, Bryce","682243","280","16.8",34.3,"117","92.4","82.6","95.2","91.5","459","174","400","136",48.6,"26",9.3,6.6
"Spence, Mitch","687765","278","12.5",37.8,"113.1","90.2","79.3","93.2","88.1","439","167","403","119",42.8,"33",11.9,8.8
"Nola, Aaron","605400","275","12.7",34.9,"109.8","89.4","78.7","94.6","85","422","164","386","119",43.3,"25",9.1,6.2
"Burrows, Mike","681347","269","13.8",33.1,"113.1","89.2","77.4","93.2","85.8","419","166","393","113",42,"29",10.8,7.2
"Bellozo, Valente","678368","266","22",33.8,"116.5","89.7","78.9","93.9","85.3","468","196","395","110",41.4,"31",11.7,8.9
"Newcomb, Sean","656794","263","9.9",33.5,"113.2","88.9","77.8","92.7","85.9","430","152","390","110",41.8,"15",5.7,3.8
"Greene, Hunter","668881","260","20.2",35.8,"115.3","90.4","80","93.2","88.7","457","186","395","117",45,"25",9.6,6
"Ginn, J.T.","669372","256","7.8",26.2,"113.7","88.4","75.4","95.3","84.6","458","141","406","114",44.5,"25",9.8,6.4
"Evans, Logan","688138","256","13.6",36.3,"113.3","89.9","79","92.6","87.2","448","174","391","109",42.6,"27",10.5,7.7
"Gordon, Tanner","685299","255","17",42.4,"112.7","90.1","78.9","93.9","86.1","452","192","412","105",41.2,"29",11.4,8.6
"Leahy, Kyle","681517","254","10.2",37.4,"115.2","89.1","77.1","93.4","86.1","419","159","397","112",44.1,"25",9.8,6.9
"Bido, Osvaldo","674370","254","20.1",33.1,"114.7","90.4","80","93.9","85.7","471","196","412","104",40.9,"30",11.8,8.3
"Bivens, Spencer","702352","252","7.2",28.6,"114.7","87.5","75.9","93.1","84.9","413","140","388","94",37.3,"18",7.1,5.2
"Mahle, Tyler","641816","251","14.4",37.8,"111.5","88.5","77.7","93.6","83.2","422","178","391","93",37.1,"20",8,5.8
"Scherzer, Max","453286","251","21.5",38.2,"112.5","88.3","77","92.1","83.9","434","207","401","96",38.2,"31",12.4,8.7
"Cantillo, Joey","676282","251","12.5",34.3,"111.7","89.5","78.3","93.5","86","433","167","404","105",41.8,"18",7.2,4.5
"Vargas, Carlos","672841","247","4.6",25.9,"117.7","88.6","77.9","91.3","87.3","444","132","386","87",35.2,"12",4.9,3.6
"Pérez, Eury","691587","245","22.3",31.8,"114.5","90.5","79.8","94.2","85.7","433","193","394","114",46.5,"22",9,5.7
"Eflin, Zach","621107","244","11.4",34,"112.3","89.6","78.8","92.9","86.1","467","170","384","99",40.6,"23",9.4,7.4
"Ortiz, Luis","682847","243","9.4",32.9,"114.6","91.8","81.2","95.7","88.9","422","160","383","116",47.7,"25",10.3,6.5
"Alexander, Jason","669920","242","10.8",35.1,"113.4","89.8","77.8","95","86.8","418","159","379","111",45.9,"20",8.3,6
"Rogers, Tyler","643511","242","-2.9",26,"113.7","85.8","73.5","90.6","83.8","401","108","379","80",33.1,"5",2.1,1.7
"Matthews, Zebby","805673","242","16.5",44.2,"113.5","89.2","78.1","92.4","85.6","429","190","390","94",38.8,"24",9.9,6.8
"Lopez, Jacob","682052","241","21.8",39,"110.9","86.9","75.2","92.4","78","448","192","406","80",33.2,"16",6.6,4
"Soroka, Michael","647336","240","14.3",27.5,"112","89.2","78.4","94.3","85.4","415","165","381","97",40.4,"16",6.7,4.2
"Casparius, Ben","676508","238","19.5",31.9,"111.6","87.5","77.2","91.1","84.2","430","180","385","76",31.9,"17",7.1,5.1
"Matz, Steven","571927","237","10.7",31.2,"110.9","88.4","76.8","94.6","85.4","435","151","398","96",40.5,"15",6.3,4.9
"Phillips, Tyler","663969","235","5.5",26,"115.1","89.2","77.4","92.8","87.3","424","131","405","102",43.4,"12",5.1,3.8
"Latz, Jacob","656641","235","17.6",33.2,"119.6","90","79.2","93.1","88.2","431","169","395","100",42.6,"15",6.4,4.3
"Rutledge, Jackson","671131","234","16.7",30.8,"111","91","80.5","94.9","89.1","434","165","394","115",49.1,"23",9.8,6.9
"Herget, Jimmy","623474","233","18.5",35.2,"109.9","88.7","77.9","93.2","84.9","432","182","402","91",39.1,"17",7.3,4.9
