"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Keller, Brad","641745","173","6.5",29.5,"108","86.7","75.8","92.3","84.7","426","125","414","53",30.6,"10",5.8,3.6
"Burnes, Corbin","669203","173","6.6",33.5,"113.4","89.5","78","94.5","86.4","448","144","410","72",41.6,"14",8.1,5.3
"Whitlock, Garrett","676477","173","11.2",35.3,"119","88.5","77.1","93.1","84.9","401","160","395","63",36.4,"15",8.7,5.1
"Beck, Tristan","663941","173","14.7",34.7,"111.8","90.1","80.6","93.1","88.9","422","166","397","66",38.2,"15",8.7,6.5
"Hoffman, Jeff","656546","172","15.7",31.4,"115.3","89.3","77.8","95.9","83.3","432","167","399","68",39.5,"22",12.8,7.7
"Okert, Steven","595345","171","25.3",29.2,"110.5","88.4","78.4","91.6","85.4","398","195","382","56",32.7,"12",7,4.3
"Hurter, Brant","676428","171","9.7",32.2,"109.9","87.7","76.6","91.5","85.9","405","144","381","63",36.8,"6",3.5,2.2
"Adam, Jason","592094","171","15",22.8,"110.3","88.8","78.7","91.7","86.3","428","158","398","65",38,"12",7,4.4
"Banda, Anthony","607455","171","13.8",35.1,"112.4","89.8","80","91.2","89.7","428","172","399","66",38.6,"15",8.8,5.6
"Cano, Yennier","666974","170","6.1",27.1,"109.5","88.1","77.2","93.4","85.3","407","131","387","60",35.3,"8",4.7,3.2
"Kerkering, Orion","689147","170","15",36.5,"113.9","85.9","73.9","90.2","84","414","158","384","57",33.5,"11",6.5,4.1
"Manaea, Sean","640455","169","17.3",39.1,"115","89.8","78.7","94.8","86.2","440","177","390","72",42.6,"15",8.9,5.7
"Gil, Luis","661563","169","21.3",35.5,"115","90.5","80.1","93.4","89","428","186","403","72",42.6,"14",8.3,5.7
"Faucher, Calvin","676534","169","8.1",37.3,"113.4","87.7","76.5","91.3","85.1","426","157","399","58",34.3,"8",4.7,3.1
"Doval, Camilo","666808","168","6.2",28.6,"111.1","88.6","76.7","93.5","85.6","427","135","413","68",40.5,"10",6,3.6
"Romero, JoJo","668941","168","5.1",28.6,"113.9","87.3","75.6","93.3","85","436","132","412","59",35.1,"12",7.1,4.7
"Weaver, Luke","596133","168","22",35.7,"114.8","90","80","92.9","85.2","421","205","388","67",39.9,"14",8.3,5.3
"Ross, Joe","605452","168","11",37.5,"111","89.3","77.5","94.7","85.7","437","165","410","73",43.5,"20",11.9,8.8
"Sterner, Justin","686993","167","22",33.5,"112.3","89.8","79.7","93.8","85.6","433","194","402","65",38.9,"16",9.6,6
"Estrada, Jeremiah","669093","166","21.4",33.1,"112.7","90.1","80.2","93.1","89.2","447","179","399","65",39.2,"15",9,4.9
"Fairbanks, Pete","664126","166","14.3",28.9,"109.2","90.2","80.6","92.9","88.9","428","152","393","71",42.8,"8",4.8,3.3
"McCullers Jr., Lance","621121","166","12.1",33.7,"111","90.5","79.4","96.1","86.7","443","160","381","83",50,"19",11.4,6.9
"Pagán, Emilio","641941","165","23.7",29.7,"110.5","88.9","78.9","93.3","84.5","422","195","385","61",37,"15",9.1,5.6
"Ashby, Aaron","676879","165","-0.1",28.5,"114.3","89.2","78.1","90.6","88.7","416","120","398","66",40,"5",3,1.9
"Alcala, Jorge","660896","165","20.2",33.9,"112.4","88.8","77.5","94.1","84.4","426","179","398","62",37.6,"18",10.9,7
"Wilson, Steven","621051","165","24.9",35.2,"114.9","89.6","80.5","92.1","87.1","451","200","394","60",36.4,"9",5.5,3.7
"Myers, Tobias","668964","165","15.4",32.7,"113.7","90.3","80.3","93.3","89.3","420","182","388","74",44.8,"11",6.7,5
"Stanek, Ryne","592773","165","19.9",37,"110.2","90.3","80.3","93.1","88.4","406","188","379","72",43.6,"18",10.9,7.1
"Strahm, Matt","621381","164","29.4",33.5,"112.3","89.4","79.7","91.8","90.1","424","194","408","63",38.4,"7",4.3,2.7
"Helsley, Ryan","664854","163","11.4",36.8,"111.8","91","81.2","93.5","89.1","415","165","393","68",41.7,"12",7.4,4.8
"Mejia, Juan","675848","162","15.5",34,"116.2","85.8","73","90.4","83.3","423","170","396","56",34.6,"8",4.9,3.1
"Beeks, Jalen","656222","162","12.5",29,"111.9","88.5","76.3","92.3","85.6","419","159","395","64",39.5,"17",10.5,7.4
"Jax, Griffin","643377","161","6.7",38.5,"110.9","89.2","77.1","94.2","84.6","420","148","388","71",44.1,"15",9.3,5.3
"Mears, Nick","683232","161","16.6",39.1,"112.2","90.4","80.1","94.5","85.2","417","199","389","69",42.9,"17",10.6,7.7
"Carrasco, Carlos","471911","161","16.6",38.5,"110.4","90.7","79.8","91.9","89.5","415","180","391","69",42.9,"17",10.6,8
"Pérez, Martín","527048","160","15.1",33.1,"112.6","88.2","76.1","95","82.5","427","177","395","63",39.4,"24",15,10.5
"Gibson, Cade","806188","160","7.2",31.3,"111.6","87.9","76.8","92","86.2","430","136","407","60",37.5,"9",5.6,3.9
"García, Luis","472610","159","4.9",35.8,"113.3","90.8","79.7","94.7","87.8","413","146","400","77",48.4,"12",7.5,5.2
"Detmers, Reid","672282","159","9.9",32.7,"118.3","90.1","79.3","93.6","87.2","423","158","387","68",42.8,"13",8.2,4.9
"Johnson, Pierce","572955","159","17.2",37.7,"111.7","90.4","80.6","93","88","438","190","404","68",42.8,"14",8.8,5.9
"Cavalli, Cade","676917","158","3.8",29.7,"109.7","87.7","74.8","93.3","85.2","424","137","392","66",41.8,"7",4.4,3.2
"Montero, Rafael","606160","158","11.4",25.3,"108.8","88.3","76.8","91.2","85.9","416","147","406","61",38.6,"11",7,4.3
"Leasure, Jordan","673929","157","24.3",36.9,"114.7","89.1","78.4","93.5","84.2","409","182","384","59",37.6,"17",10.8,6.3
"Little, Brendon","663893","157","1.4",30.6,"112.4","89.7","78","95.3","87.3","428","121","407","74",47.1,"10",6.4,3.4
"Jansen, Kenley","445276","157","25.4",31.2,"119.6","91.5","82.3","94.1","89.9","430","199","401","70",44.6,"14",8.9,6
"Abreu, Bryan","650556","156","16.9",35.9,"112.6","90.6","80.4","95","86.7","447","178","400","71",45.5,"13",8.3,4.4
"Scott, Tanner","656945","156","18",34,"109.3","90.8","81","93.6","90.1","433","170","400","66",42.3,"14",9,5.9
"Snell, Blake","605483","156","5.6",34,"113.5","86.2","73.4","91.5","81.8","400","141","356","53",34,"9",5.8,3.5
"Seymour, Ian","693855","156","15.1",39.7,"109.6","88.7","77.6","92.2","84.5","426","178","389","59",37.8,"11",7.1,4.5
"Woodruff, Brandon","605540","156","24.6",28.8,"109.4","87.9","76.8","91.7","85.5","428","174","392","56",35.9,"11",7.1,4.3
"Bummer, Aaron","607481","156","2.9",33.3,"115.8","89.7","79.9","92.3","87.8","461","128","443","61",39.1,"5",3.2,2.1
"Finnegan, Kyle","640448","154","11.5",32.5,"111","90.4","80.2","92.2","89.6","400","149","386","66",42.9,"12",7.8,5.2
"Ferguson, Tyler","621053","154","19.3",33.1,"112.6","87.5","76.9","91.8","83.2","432","178","414","49",31.8,"10",6.5,4.1
"Bird, Jake","656234","154","8.6",34.4,"110.7","88.5","76.5","91.4","85.9","439","153","403","66",42.9,"13",8.4,5.2
"Festa, David","701581","153","19.8",33.3,"113.4","90.4","79.9","95.1","86.5","441","183","414","62",40.5,"18",11.8,7.9
"Walter, Brandon","687888","153","12",30.7,"112","86.2","73.6","92.1","81.9","445","155","398","59",38.6,"11",7.2,5.2
"Clarke, Taylor","664199","152","13.6",29.6,"113.1","89.3","78.6","93.5","86.3","451","160","410","62",40.8,"12",7.9,5.8
"Misiorowski, Jacob","694819","152","15.9",40.8,"109.3","89","79.2","92.7","84.8","431","189","393","57",37.5,"12",7.9,4.4
"Bernardino, Brennan","657514","151","9.5",28.5,"112.9","87.6","75.5","93.4","85","391","139","355","54",35.8,"11",7.3,4.9
"Thielbar, Caleb","573204","151","19.3",29.8,"113.6","87.9","77.4","91.3","86.9","419","163","407","48",31.8,"10",6.6,4.5
"Jobe, Jackson","695549","150","13.1",36,"111.9","89.1","77.7","94.6","85.2","436","163","396","65",43.3,"13",8.7,6
"Festa, Matt","670036","150","13.2",36,"106.9","87.4","76.4","90.6","85","411","161","405","51",34,"9",6,4
"Jackson, Luke","592426","150","7.7",28,"114.4","90.8","80.1","95.8","87.9","421","144","401","66",44,"10",6.7,4.6
"Waldrep, Hurston","694462","149","6.3",32.2,"114.3","89.1","78.6","93.1","86.5","423","149","406","58",40.3,"6",4,2.6
"Houck, Tanner","656557","149","6.8",35.6,"112.2","91","79.8","95","87.8","432","151","396","69",46.3,"12",8.1,5.9
"Garrett, Reed","657585","147","12.7",36.1,"111.7","88","75.7","93.3","83.7","417","164","371","60",40.8,"7",4.8,2.9
"Henry, Cole","669371","146","23.3",30.8,"111.2","88.8","77.5","92.6","88.7","412","175","397","54",37,"11",7.5,4.6
"Trivino, Lou","642152","146","20.1",33.6,"113.2","87.1","75.9","90.3","85.6","414","167","398","45",30.8,"14",9.6,6.8
"Bednar, David","670280","145","11.2",35.9,"115.4","89.2","78.2","93.3","85.3","426","161","408","61",42.1,"13",9,5.2
"Zeferjahn, Ryan","666171","145","15.1",37.9,"114.9","88.3","77","91.7","84.9","433","183","395","54",37.2,"15",10.3,5.9
"Speier, Gabe","642100","145","15",26.9,"112.4","89.7","78.7","93.5","86.6","422","171","386","59",40.7,"13",9,5.3
"Leiter Jr., Mark","643410","144","13.8",29.2,"111","87.2","75.7","89.4","85.2","429","147","402","48",33.3,"8",5.6,3.7
"Domínguez, Seranthony","622554","144","13.4",34.7,"114.5","87.5","76.2","92.6","85.1","422","150","393","53",36.8,"10",6.9,3.8
"Rogers, Taylor","573124","142","13.1",34.5,"110.2","90.1","78.8","95.6","86.3","448","162","385","63",44.4,"14",9.9,6.3
"Svanson, Matt","694335","142","9.8",39.4,"113.9","89.1","78.3","92.5","86.4","405","163","389","51",35.9,"12",8.5,5.1
"Hernández, Carlos","672578","140","17.7",31.4,"114.5","89.7","78.5","92.2","89.9","420","180","402","54",38.6,"16",11.4,7.9
"Williams, Devin","642207","140","11.3",32.1,"113.7","89.5","79.3","92.1","88.2","456","163","410","50",35.7,"13",9.3,5
"Gilbert, Tyler","656457","140","20.4",35,"112.1","90","80","91.8","90.5","410","188","389","57",40.7,"14",10,6.5
"Vodnik, Victor","680767","140","4.1",31.4,"112.7","91","80","95.4","88","434","148","400","68",48.6,"12",8.6,5.6
"Bender, Anthony","669622","139","8.4",23.7,"114.8","89.6","78.7","93.3","86.4","428","152","402","62",44.6,"10",7.2,4.9
"Muñoz, Andrés","662253","138","8.8",31.9,"108.8","86.9","74.4","90.5","84.6","410","143","399","55",39.9,"9",6.5,3.5
"Legumina, Casey","668984","137","17.1",29.2,"112.9","90.6","79.8","93.5","88.2","448","173","394","60",43.8,"12",8.8,5.5
"Maton, Phil","664208","137","12.2",38.7,"110.5","84.8","72.3","89.9","81.9","413","152","382","42",30.7,"5",3.6,2
"Ragans, Cole","666142","137","16.6",32.1,"117.2","88.4","76.6","92.8","85.9","419","176","396","54",39.4,"13",9.5,5.1
"Boyle, Joe","671212","137","15.1",29.2,"113.4","91.1","80.5","93.6","89.8","436","162","385","63",46,"14",10.2,6.2
"Palencia, Daniel","694037","136","14.4",38.2,"113","90.1","80.2","94.6","86.8","438","171","385","66",48.5,"6",4.4,2.8
"Cleavinger, Garrett","664076","136","11.8",34.6,"110","88.8","76.4","93.5","85.4","432","156","382","56",41.2,"8",5.9,3.3
"Kittredge, Andrew","552640","133","7.8",33.8,"112.8","90.7","80","93","88.8","419","160","385","59",44.4,"9",6.8,4.3
"Fluharty, Mason","689254","133","16.3",30.1,"115","86.6","74.9","90.5","85.5","446","167","394","44",33.1,"10",7.5,4.7
"Díaz, Edwin","621242","131","11.3",32.8,"111.3","88.5","77.1","93.7","83.8","412","154","382","52",39.7,"6",4.6,2.3
"Vesia, Alex","681911","130","24.9",38.5,"113","88.5","77.2","94.7","82.6","443","182","405","49",37.7,"14",10.8,5.9
"Wilson, Justin","458677","128","12.9",35.2,"111","89.2","79","90.9","88.4","415","151","393","46",35.9,"9",7,4.3
"Chapman, Aroldis","547973","128","18.9",34.4,"108.5","88.8","78.4","92.3","85.9","410","175","387","47",36.7,"7",5.5,3.1
"Pomeranz, Drew","519141","126","16.9",34.1,"111.5","90.1","79.8","92.2","90.4","422","170","404","54",42.9,"11",8.7,5.4
"Montgomery, Mason","682254","118","12.1",33.9,"112.8","89.3","78","90.8","89.4","430","160","385","46",39,"11",9.3,5.3
"Hader, Josh","623352","111","29.2",34.2,"108.7","88","77.7","92.5","80.2","443","195","377","38",34.2,"9",8.1,4.4
"Miller, Mason","695243","101","16.4",36.6,"107.2","87.9","77.1","92.2","84.4","439","181","399","38",37.6,"10",9.9,4.3
