"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Seager, Kyle",572122,"SEA","FF","4-Seam Fastball",-1.1,-4,"344",35.7,"109","0.17","0.398","0.306",10.5,6.4,8.2,"0.26","0.57","0.406",48.8
"Biggio, Cavan",624415,"TOR","FF","4-Seam Fastball",-0.9,-4,"461",41.5,"108","0.191","0.36","0.315",16.6,25,22.1,"0.16","0.306","0.283",29
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",-0.2,-1,"403",43.1,"102","0.277","0.349","0.36",10.3,10.8,10.1,"0.302","0.412","0.376",19.2
"Story, Trevor",596115,"COL","FF","4-Seam Fastball",0.5,2,"397",38.3,"100","0.279","0.442","0.374",23.9,28,24.6,"0.246","0.383","0.328",48.3
"Canha, Mark",592192,"ATH","FF","4-Seam Fastball",0.9,3,"361",34,"99","0.273","0.545","0.42",23.4,20.2,16.9,"0.261","0.495","0.395",48.3
"Betts, Mookie",605141,"LAD","FF","4-Seam Fastball",3.2,11,"334",35.9,"99","0.299","0.598","0.439",6.3,12.1,12.4,"0.309","0.575","0.411",52
"Hernández, César",514917,"CLE","FF","4-Seam Fastball",-0.7,-3,"420",39,"98","0.262","0.393","0.338",10.3,16.3,15.2,"0.274","0.358","0.331",31.9
"Bellinger, Cody",641355,"LAD","FF","4-Seam Fastball",-1.4,-5,"380",39.3,"98","0.213","0.348","0.289",25.7,18.4,16.8,"0.274","0.467","0.351",45.1
"Olson, Matt",621566,"ATH","FF","4-Seam Fastball",0.3,1,"396",39.5,"95","0.182","0.416","0.339",42.4,33.7,30.8,"0.223","0.408","0.349",44.4
"Ramírez, José",608070,"CLE","FF","4-Seam Fastball",1.7,6,"362",31.6,"95","0.273","0.675","0.447",16.1,17.9,14.3,"0.251","0.603","0.41",45.9
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",2.1,9,"421",43,"94","0.293","0.573","0.437",21.3,23.4,17.5,"0.245","0.433","0.372",37.7
"Bradley Jr., Jackie",598265,"BOS","FF","4-Seam Fastball",3.6,12,"326",39,"94","0.429","0.662","0.517",20.7,10.6,13.7,"0.333","0.538","0.431",53.7
"McCutchen, Andrew",457705,"PHI","FF","4-Seam Fastball",1.5,4,"303",31.1,"93","0.313","0.627","0.42",15.6,16.1,20,"0.331","0.699","0.456",55.9
"Blackmon, Charlie",453568,"COL","FF","4-Seam Fastball",0.7,2,"361",39.8,"91","0.354","0.537","0.407",18.2,18.7,18.5,"0.293","0.503","0.364",39.7
"Merrifield, Whit",593160,"KC","FF","4-Seam Fastball",1.1,4,"354",35.5,"90","0.354","0.557","0.442",11,4.4,4.9,"0.375","0.551","0.425",34.2
"Candelario, Jeimer",600869,"DET","FF","4-Seam Fastball",2.8,9,"309",36.6,"90","0.364","0.545","0.438",22.1,15.6,14,"0.297","0.503","0.392",46
"Lindor, Francisco",596019,"CLE","FF","4-Seam Fastball",0.1,0,"372",33.3,"90","0.247","0.444","0.322",16.7,15.6,11.7,"0.278","0.478","0.35",44.9
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",1.6,7,"424",41.4,"90","0.288","0.534","0.419",14.9,21.1,13.2,"0.292","0.585","0.434",58.9
"Calhoun, Kole",594777,"AZ","FF","4-Seam Fastball",-0.5,-2,"344",38.2,"89","0.182","0.403","0.3",26.1,15.7,15.6,"0.272","0.44","0.342",35.4
"Muncy, Max",571970,"LAD","FF","4-Seam Fastball",1.5,6,"376",34.2,"87","0.235","0.691","0.449",18,21.8,18.8,"0.288","0.761","0.487",53.1
"Yastrzemski, Mike",573262,"SF","FF","4-Seam Fastball",1.4,6,"402",42.8,"86","0.269","0.582","0.452",23.5,19.8,16,"0.212","0.461","0.373",46
"Gregorius, Didi",544369,"PHI","FF","4-Seam Fastball",-1.2,-4,"331",36.7,"86","0.241","0.392","0.305",17.7,12.8,9.2,"0.247","0.363","0.295",30.4
"Flores, Wilmer",527038,"SF","FF","4-Seam Fastball",1.3,4,"326",36.5,"86","0.329","0.646","0.427",15.3,15.1,12.5,"0.282","0.562","0.371",35.8
"Lewis, Kyle",641786,"SEA","FF","4-Seam Fastball",0.8,3,"357",36.4,"86","0.224","0.507","0.381",34.2,30.2,27.1,"0.242","0.53","0.4",46.5
"Reddick, Josh",502210,"HOU","FF","4-Seam Fastball",0.4,1,"326",39,"86","0.24","0.387","0.317",17.4,23.3,21.1,"0.237","0.356","0.311",34.5
"Suárez, Eugenio",553993,"CIN","FF","4-Seam Fastball",1.4,5,"354",35.4,"86","0.214","0.543","0.384",24.8,25.6,20.6,"0.226","0.532","0.384",47.9
"Votto, Joey",458015,"CIN","FF","4-Seam Fastball",1.2,4,"314",34,"85","0.229","0.614","0.409",23.6,21.2,21.4,"0.25","0.554","0.397",46.2
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.3,-1,"344",36.6,"85","0.239","0.493","0.37",32.2,24.7,22.8,"0.255","0.513","0.385",52
"Santana, Carlos",467793,"CLE","FF","4-Seam Fastball",0.8,3,"349",31.1,"84","0.273","0.485","0.408",16.7,11.9,10.4,"0.272","0.543","0.419",42.9
"Semien, Marcus",543760,"ATH","FF","4-Seam Fastball",-0.8,-3,"331",33.7,"84","0.24","0.373","0.34",19.9,17.9,15.2,"0.26","0.441","0.34",38.3
"Tucker, Kyle",663656,"HOU","FF","4-Seam Fastball",4,11,"267",31,"83","0.36","0.733","0.503",13,10.8,11.8,"0.306","0.589","0.405",53
