"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Alvarez, Yordan",670541,"HOU","SL","Slider",1.6,5,"312",16.4,"78","0.309","0.559","0.419",33.8,24.4,21.6,"0.264","0.511","0.381",42
"Winker, Jesse",608385,"MIL","FF","4-Seam Fastball",-0.5,-2,"305",36.7,"78","0.246","0.338","0.32",21.5,23.1,19.6,"0.242","0.389","0.332",37.5
"Castro, Rodolfo",666801,"PHI","FF","4-Seam Fastball",-1.4,-4,"251",25,"78","0.214","0.371","0.279",17.3,24.4,24.1,"0.205","0.371","0.283",28.8
"Cron, C.J.",543068,"LAA","FF","4-Seam Fastball",-0.9,-3,"318",29.8,"78","0.221","0.368","0.321",28.3,28.2,27.2,"0.265","0.57","0.393",54.3
"Fortes, Nick",663743,"MIA","FF","4-Seam Fastball",-0.3,-1,"289",25.6,"78","0.219","0.422","0.338",18.1,20.5,24.2,"0.201","0.433","0.333",48
"Friedl, TJ",670770,"CIN","SI","Sinker",1.4,4,"289",13.2,"78","0.371","0.586","0.449",13.3,15.4,21.4,"0.264","0.346","0.305",42.4
"García Jr., Luis",671277,"WSH","CH","Changeup",-2.7,-8,"293",17.2,"78","0.156","0.169","0.175",25.5,15.4,14.1,"0.213","0.247","0.209",10.8
"Santander, Anthony",623993,"BAL","SI","Sinker",-0.4,-1,"267",9.7,"78","0.315","0.438","0.351",9.5,7.7,7.4,"0.291","0.451","0.342",47.8
"Stanton, Giancarlo",519317,"NYY","SI","Sinker",1.3,5,"368",21.4,"77","0.246","0.492","0.4",14,22.1,23.3,"0.248","0.483","0.369",52.1
"Higashioka, Kyle",543309,"NYY","FF","4-Seam Fastball",2,5,"264",26.1,"77","0.258","0.591","0.401",17.3,20.8,16.2,"0.3","0.714","0.449",63.5
"Laureano, Ramón",657656,"CLE","SL","Slider",-0.8,-2,"314",19,"77","0.183","0.338","0.258",30.5,24.7,18.1,"0.222","0.381","0.289",38.5
"Carpenter, Kerry",681481,"DET","SL","Slider",-0.5,-1,"267",15.2,"77","0.2","0.371","0.284",24.3,26,20.8,"0.214","0.394","0.297",46
"Torkelson, Spencer",679529,"DET","CH","Changeup",-1.7,-6,"321",11.5,"77","0.125","0.292","0.198",33.1,28.6,18.2,"0.206","0.412","0.281",43.1
"Friedl, TJ",670770,"CIN","CH","Changeup",-0.8,-2,"308",14,"77","0.23","0.324","0.27",30.6,18.2,14.3,"0.214","0.276","0.235",11.7
"Gomes, Yan",543228,"CHC","SI","Sinker",2.7,8,"288",18.2,"77","0.355","0.629","0.478",12.9,5.2,8.3,"0.33","0.535","0.437",40
"Altuve, Jose",514888,"HOU","SI","Sinker",0.6,2,"309",19.8,"76","0.349","0.429","0.416",17.3,14.5,16.7,"0.248","0.336","0.331",21.2
"Murphy, Sean",669221,"ATL","SL","Slider",-0.1,0,"338",19.3,"76","0.194","0.388","0.322",27.8,17.1,12.7,"0.253","0.467","0.35",37
"Giménez, Andrés",665926,"CLE","CH","Changeup",-1.9,-5,"268",11.4,"76","0.139","0.236","0.201",22.4,21.1,17,"0.25","0.388","0.296",21.4
"Turner, Trea",607208,"PHI","CH","Changeup",0.6,2,"285",10.7,"76","0.243","0.429","0.33",38.6,19.7,16.1,"0.24","0.419","0.312",36.4
"Soto, Juan",665742,"SD","CH","Changeup",1.5,6,"399",13.8,"76","0.233","0.417","0.388",26.6,15.8,11,"0.263","0.369","0.361",43.8
"Votto, Joey",458015,"CIN","FF","4-Seam Fastball",3.1,8,"257",27.4,"75","0.286","0.696","0.481",21.5,17.3,20,"0.243","0.554","0.424",60.5
"Bethancourt, Christian",542194,"TB","FF","4-Seam Fastball",-0.2,-1,"295",25,"75","0.235","0.515","0.34",37.1,36,25.2,"0.216","0.457","0.311",66.7
"Abrams, CJ",682928,"WSH","SL","Slider",-0.9,-3,"315",14.2,"75","0.222","0.347","0.253",30.2,30.7,19.8,"0.2","0.311","0.228",32
"Cabrera, Miguel",408234,"DET","SI","Sinker",-3.3,-9,"262",19,"75","0.159","0.159","0.224",9.8,9.3,13.2,"0.206","0.284","0.251",35.5
"DeJong, Paul",657557,"SF","SL","Slider",-1.9,-5,"281",19.7,"75","0.186","0.271","0.231",44.7,34.7,32.9,"0.214","0.334","0.266",27.3
"McKinstry, Zach",656716,"DET","CH","Changeup",-0.9,-2,"263",12.5,"75","0.139","0.208","0.22",30.8,26.7,21.5,"0.221","0.331","0.256",23.1
"Smith, Pavin",656976,"AZ","FF","4-Seam Fastball",0.4,1,"304",32.9,"75","0.246","0.459","0.386",9.9,13.3,13.7,"0.253","0.491","0.385",56.9
"Morel, Christopher",666624,"CHC","SI","Sinker",1.6,5,"289",17.5,"75","0.388","0.627","0.472",14,12,16.7,"0.323","0.502","0.384",44.1
"Straw, Myles",664702,"CLE","SL","Slider",-0.2,-1,"307",15.4,"75","0.258","0.318","0.304",29,26.7,21.3,"0.191","0.244","0.238",12.5
"Raleigh, Cal",663728,"SEA","SL","Slider",0.1,0,"316",13.5,"75","0.182","0.424","0.318",39,34.7,21.3,"0.148","0.316","0.255",30
"Harper, Bryce",547180,"PHI","CH","Changeup",2.9,8,"275",13.6,"75","0.333","0.54","0.417",37.4,17.3,17.1,"0.303","0.516","0.405",41.2
"Tatis Jr., Fernando",665487,"SD","CH","Changeup",0.3,1,"249",10.7,"75","0.221","0.397","0.315",37.4,26.7,24.4,"0.258","0.487","0.348",47.9
"Gorman, Nolan",669357,"STL","SL","Slider",-1.3,-4,"264",14,"74","0.194","0.403","0.293",40.5,36.5,31.4,"0.189","0.411","0.292",51.2
"Moreno, Gabriel",672515,"AZ","SL","Slider",-0.8,-2,"246",15.9,"74","0.242","0.288","0.294",23.9,21.6,19.8,"0.196","0.263","0.251",30.8
"Casas, Triston",671213,"BOS","CH","Changeup",1.3,4,"304",14.7,"74","0.286","0.486","0.361",28.2,24.3,21.2,"0.232","0.429","0.302",34.6
