"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Rodón, Carlos","607074","NYY","2024","adj_xhr","23.71",10,25,16,"44.4","36",34,"2.0"
"Crawford, Kutter","676710","BOS","2024","adj_xhr","24.18",10,28,12,"35.3","34",34.5,"-0.5"
"Nola, Aaron","605400","PHI","2024","adj_xhr","23.79",16,19,11,"34.4","32",26.4,"5.6"
"Canning, Griffin","656288","LAA","2024","adj_xhr","23.55",11,22,11,"35.5","31",28.3,"2.7"
"Berríos, José","621244","TOR","2024","adj_xhr","23.76",18,19,13,"41.9","31",26.8,"4.2"
"Gomber, Austin","596295","COL","2024","adj_xhr","22.74",17,22,9,"30","30",26.2,"3.8"
"Flaherty, Jack","656427","LAD","2024","adj_xhr","24.53",9,23,11,"36.7","30",29,"1.0"
"Rea, Colin","607067","MIL","2024","adj_xhr","24.07",19,19,10,"34.5","29",24.7,"4.3"
"Irvin, Jake","663623","WSH","2024","adj_xhr","23.61",7,18,12,"41.4","29",25.1,"3.9"
"Civale, Aaron","650644","MIL","2024","adj_xhr","23.76",10,24,5,"17.2","29",22.1,"6.9"
"Sears, JP","676664","ATH","2024","adj_xhr","22.73",18,21,13,"46.4","28",29.9,"-1.9"
"Pivetta, Nick","601713","BOS","2024","adj_xhr","24.54",11,22,11,"39.3","28",27.9,"0.1"
"Imanaga, Shota","684007","CHC","2024","adj_xhr","22.93",11,21,9,"33.3","27",24.2,"2.8"
"Ober, Bailey","641927","MIN","2024","adj_xhr","24.9",13,12,17,"63","27",26.6,"0.4"
"López, Pablo","641154","MIN","2024","adj_xhr","23.67",13,23,5,"19.2","26",26.4,"-0.4"
"Peralta, Freddy","642547","MIL","2024","adj_xhr","23.83",10,23,6,"23.1","26",23.3,"2.7"
"Mikolas, Miles","571945","STL","2024","adj_xhr","23.48",16,20,13,"50","26",27.8,"-1.8"
"Gilbert, Logan","669302","SEA","2024","adj_xhr","24.74",8,15,14,"53.8","26",24.7,"1.3"
"Muñoz, Roddery","682610","MIA","2024","adj_xhr","24.13",7,15,12,"46.2","26",25.4,"0.6"
"Severino, Luis","622663","NYM","2024","adj_xhr","24.03",5,13,14,"56","25",24,"1.0"
"Castillo, Luis","622491","SEA","2024","adj_xhr","23.23",15,23,5,"20","25",22.7,"2.3"
"Kikuchi, Yusei","579328","HOU","2024","adj_xhr","24.36",7,18,9,"36","25",20.5,"4.5"
"Corbin, Patrick","571578","WSH","2024","adj_xhr","23.19",9,12,12,"48","25",23,"2.0"
"Cortes, Nestor","641482","NYY","2024","adj_xhr","24.26",12,23,10,"40","25",25.6,"-0.6"
"Abbott, Andrew","671096","CIN","2024","adj_xhr","23.23",9,19,6,"24","25",20.7,"4.3"
"Flexen, Chris","623167","CWS","2024","adj_xhr","23.45",10,19,8,"33.3","24",19.3,"4.7"
"Manaea, Sean","640455","NYM","2024","adj_xhr","23.9",10,22,6,"25","24",23,"1.0"
"Bibee, Tanner","676440","CLE","2024","adj_xhr","23.34",13,16,8,"33.3","24",21.7,"2.3"
"Anderson, Tyler","542881","LAA","2024","adj_xhr","24.57",13,12,12,"50","24",21.7,"2.3"
"Pfaadt, Brandon","694297","AZ","2024","adj_xhr","23.77",9,19,9,"37.5","24",22,"2.0"
"Montas, Frankie","593423","MIL","2024","adj_xhr","23.48",9,19,7,"29.2","24",20.4,"3.6"
"Walker, Taijuan","592836","PHI","2024","adj_xhr","24.79",3,14,15,"62.5","24",24.7,"-0.7"
"Alexander, Tyler","641302","TB","2024","adj_xhr","23.8",9,16,7,"30.4","23",20.7,"2.3"
"Estes, Joey","683155","ATH","2024","adj_xhr","23.81",9,21,10,"43.5","23",26,"-3.0"
"Heaney, Andrew","571760","TEX","2024","adj_xhr","23.84",14,12,12,"52.2","23",22.1,"0.9"
"Lively, Ben","594902","CLE","2024","adj_xhr","24.06",14,13,10,"43.5","23",20.9,"2.1"
"Morton, Charlie","450203","ATL","2024","adj_xhr","24.52",9,17,13,"56.5","23",25.2,"-2.2"
"Quintana, Jose","500779","NYM","2024","adj_xhr","22.64",6,15,10,"43.5","23",21.6,"1.4"
"Eovaldi, Nathan","543135","TEX","2024","adj_xhr","23.98",6,16,11,"47.8","23",22.5,"0.5"
"Quantrill, Cal","615698","COL","2024","adj_xhr","23.25",9,15,9,"39.1","23",20.5,"2.5"
"Gibson, Kyle","502043","STL","2024","adj_xhr","23.79",6,23,6,"26.1","23",22.1,"0.9"
"Keller, Mitch","656605","PIT","2024","adj_xhr","23.38",7,18,9,"39.1","23",23,"0.0"
"Eflin, Zach","621107","BAL","2024","adj_xhr","24.75",7,11,13,"59.1","22",21.3,"0.7"
"Bradley, Taj","671737","TB","2024","adj_xhr","24.61",10,14,10,"45.5","22",19.5,"2.5"
"Kirby, George","669923","SEA","2024","adj_xhr","25.01",8,15,11,"50","22",21.6,"0.4"
"Blanco, Ronel","669854","HOU","2024","adj_xhr","23.62",11,15,8,"36.4","22",20.4,"1.6"
"Allen, Logan","671106","CLE","2024","adj_xhr","22.68",8,18,8,"36.4","22",20.3,"1.7"
"Singer, Brady","663903","KC","2024","adj_xhr","23.48",8,13,14,"63.6","22",24.2,"-2.2"
"Maeda, Kenta","628317","DET","2024","adj_xhr","24.03",9,14,11,"50","22",21.8,"0.2"
"Freeland, Kyle","607536","COL","2024","adj_xhr","23.29",6,14,8,"36.4","22",21,"1.0"
"Littell, Zack","641793","TB","2024","adj_xhr","23.73",15,18,7,"31.8","22",22.9,"-0.9"
"Burnes, Corbin","669203","BAL","2024","adj_xhr","23.97",7,16,11,"50","22",22,"0.0"
"Pérez, Martín","527048","SD","2024","adj_xhr","24.19",10,12,9,"40.9","22",20,"2.0"
"Gray, Sonny","543243","STL","2024","adj_xhr","24.23",6,18,7,"33.3","21",20.5,"0.5"
"Waldron, Matt","663362","SD","2024","adj_xhr","24.05",10,12,9,"42.9","21",19.2,"1.8"
"Hendricks, Kyle","543294","CHC","2024","adj_xhr","24.35",9,10,11,"52.4","21",18.6,"2.4"
"Taillon, Jameson","592791","CHC","2024","adj_xhr","23.23",11,19,6,"28.6","21",20.4,"0.6"
"Arrighetti, Spencer","681293","HOU","2024","adj_xhr","23.89",5,13,7,"33.3","21",17.9,"3.1"
"Miller, Bryce","682243","SEA","2024","adj_xhr","24.97",13,14,9,"42.9","21",20,"1.0"
"Wheeler, Zack","554430","PHI","2024","adj_xhr","23.88",9,16,6,"30","20",18.1,"1.9"
"Wilson, Bryse","669060","MIL","2024","adj_xhr","24.11",6,15,4,"20","20",15.5,"4.5"
"Spiers, Carson","686730","CIN","2024","adj_xhr","24.21",8,16,5,"25","20",17.9,"2.1"
"Fedde, Erick","607200","STL","2024","adj_xhr","22.91",5,17,7,"35","20",20.6,"-0.6"
"Feltner, Ryan","663372","COL","2024","adj_xhr","24.13",13,15,9,"45","20",22.4,"-2.4"
"Gil, Luis","661563","NYY","2024","adj_xhr","23.63",10,13,8,"40","20",17.9,"2.1"
"Gausman, Kevin","592332","TOR","2024","adj_xhr","23.62",18,16,10,"50","20",23.4,"-3.4"
"Cease, Dylan","656302","SD","2024","adj_xhr","23.43",9,16,9,"45","20",20.1,"-0.1"
"Assad, Javier","665871","CHC","2024","adj_xhr","24.13",5,16,9,"45","20",21.1,"-1.1"
"Spence, Mitch","687765","ATH","2024","adj_xhr","23.23",7,19,6,"30","20",18.9,"1.1"
"Bello, Brayan","678394","BOS","2024","adj_xhr","22.69",5,17,8,"42.1","19",18.9,"0.1"
"McKenzie, Triston","663474","CLE","2024","adj_xhr","23.32",5,9,11,"57.9","19",17.8,"1.2"
"Brown, Hunter","686613","HOU","2024","adj_xhr","23.89",8,10,7,"36.8","19",16.4,"2.6"
"Carrasco, Carlos","471911","CLE","2024","adj_xhr","23.84",6,11,11,"57.9","19",19.7,"-0.7"
"Montero, Keider","672456","DET","2024","adj_xhr","23.12",5,12,7,"36.8","19",16.1,"2.9"
"Stroman, Marcus","573186","NYY","2024","adj_xhr","23.52",5,14,7,"36.8","19",17.4,"1.6"
"King, Michael","650633","SD","2024","adj_xhr","24.2",9,7,10,"52.6","19",15.6,"3.4"
"Marsh, Alec","679525","KC","2024","adj_xhr","24.21",8,11,11,"57.9","19",19.1,"-0.1"
"Ryan, Joe","657746","MIN","2024","adj_xhr","23.69",8,17,5,"26.3","19",19.1,"-0.1"
"Harrison, Kyle","690986","SF","2024","adj_xhr","23.86",7,15,7,"38.9","18",16.8,"1.2"
"Dunning, Dane","641540","TEX","2024","adj_xhr","24.73",10,14,6,"33.3","18",17.4,"0.6"
"Cannon, Jonathan","686563","CWS","2024","adj_xhr","22.78",9,12,4,"22.2","18",12.8,"5.2"
"Kremer, Dean","665152","BAL","2024","adj_xhr","23.58",10,13,10,"55.6","18",20.8,"-2.8"
"Parker, Mitchell","680730","WSH","2024","adj_xhr","24.47",10,11,10,"55.6","18",18.9,"-0.9"
"Wacha, Michael","608379","KC","2024","adj_xhr","23.39",12,19,6,"33.3","18",20.8,"-2.8"
"Irvin, Cole","608344","MIN","2024","adj_xhr","23.83",10,19,6,"33.3","18",21.9,"-3.9"
"Detmers, Reid","672282","LAA","2024","adj_xhr","24.23",3,11,8,"44.4","18",15.7,"2.3"
"Myers, Tobias","668964","MIL","2024","adj_xhr","22.8",7,21,3,"16.7","18",17.8,"0.2"
"Bassitt, Chris","605135","TOR","2024","adj_xhr","24.6",9,12,6,"33.3","18",16.8,"1.2"
"Jones, Jared","683003","PIT","2024","adj_xhr","23.74",8,16,4,"22.2","18",16.9,"1.1"
"Crochet, Garrett","676979","CWS","2024","adj_xhr","23.21",4,16,5,"27.8","18",15.7,"2.3"
"Stone, Gavin","694813","LAD","2024","adj_xhr","24.3",6,13,7,"38.9","18",16.5,"1.5"
"Suárez, Albert","544150","BAL","2024","adj_xhr","22.98",13,11,7,"41.2","17",16.1,"0.9"
"Buehler, Walker","621111","LAD","2024","adj_xhr","23.09",5,8,7,"41.2","17",13.6,"3.4"
"De Los Santos, Enyel","660853","CWS","2024","adj_xhr","23.58",2,9,9,"52.9","17",14.9,"2.1"
"Francis, Bowden","670102","TOR","2024","adj_xhr","24.41",5,9,8,"47.1","17",15.3,"1.7"
"Miller, Bobby","676272","LAD","2024","adj_xhr","23.05",2,10,6,"35.3","17",12.4,"4.6"
"Nelson, Ryne","669194","AZ","2024","adj_xhr","22.78",9,14,5,"29.4","17",16.1,"0.9"
"Pepiot, Ryan","686752","TB","2024","adj_xhr","24.74",10,12,6,"35.3","17",17,"0.0"
"Lorenzen, Michael","547179","KC","2024","adj_xhr","23.39",6,16,5,"29.4","17",16.2,"0.8"
"Blach, Ty","621389","COL","2024","adj_xhr","22.63",6,11,6,"35.3","17",15.4,"1.6"
"Lugo, Seth","607625","KC","2024","adj_xhr","22.14",15,19,6,"35.3","17",21,"-4.0"
"Falter, Bailey","663559","PIT","2024","adj_xhr","24.16",9,13,9,"52.9","17",19.1,"-2.1"
"Knack, Landon","689017","LAD","2024","adj_xhr","23.92",3,12,6,"37.5","16",15.5,"0.5"
"Ortiz, Luis","682847","PIT","2024","adj_xhr","24.83",7,15,9,"56.3","16",20.3,"-4.3"
"Cecconi, Slade","677944","AZ","2024","adj_xhr","23.96",7,9,6,"37.5","16",12.6,"3.4"
"Skubal, Tarik","669373","DET","2024","adj_xhr","22.73",7,16,8,"50","16",21.2,"-5.2"
"Woods Richardson, Simeon","680573","MIN","2024","adj_xhr","23.56",11,13,6,"37.5","16",16.2,"-0.2"
"Lynn, Lance","458681","STL","2024","adj_xhr","23.43",8,14,6,"37.5","16",17,"-1.0"
"Glasnow, Tyler","607192","LAD","2024","adj_xhr","22.99",7,7,6,"40","15",12.4,"2.6"
"Gore, MacKenzie","669022","WSH","2024","adj_xhr","24.07",5,10,5,"33.3","15",13.1,"1.9"
"Rodriguez, Grayson","680570","BAL","2024","adj_xhr","23.63",6,16,3,"20","15",15.3,"-0.3"
"Cabrera, Edward","665795","MIA","2024","adj_xhr","24.59",1,12,7,"46.7","15",15.2,"-0.2"
"Ragans, Cole","666142","KC","2024","adj_xhr","24.35",6,7,12,"80","15",16.6,"-1.6"
"Verlander, Justin","434378","HOU","2024","adj_xhr","23.05",6,12,2,"13.3","15",12.1,"2.9"
"Bellozo, Valente","678368","MIA","2024","adj_xhr","23.61",10,9,7,"46.7","15",14.7,"0.3"
"Montgomery, Jordan","656756","AZ","2024","adj_xhr","23.77",9,11,6,"42.9","14",15.1,"-1.1"
"Woo, Bryan","693433","SEA","2024","adj_xhr","23.43",5,9,3,"21.4","14",9.8,"4.2"
"Fried, Max","608331","ATL","2024","adj_xhr","23.68",5,12,5,"35.7","14",13.7,"0.3"
"Schwellenbach, Spencer","680885","ATL","2024","adj_xhr","24.13",5,10,5,"35.7","14",12,"2.0"
"Darvish, Yu","506433","SD","2024","adj_xhr","24.17",7,5,10,"71.4","14",13.7,"0.3"
"Paddack, Chris","663978","MIN","2024","adj_xhr","23.9",2,16,4,"28.6","14",14.6,"-0.6"
"Musgrove, Joe","605397","SD","2024","adj_xhr","23.4",5,12,4,"28.6","14",13.4,"0.6"
"Rogers, Trevor","669432","BAL","2024","adj_xhr","22.81",3,12,5,"35.7","14",14.9,"-0.9"
"Suarez, Ranger","624133","PHI","2024","adj_xhr","24.17",5,9,6,"42.9","14",12.9,"1.1"
"Meyer, Max","676974","MIA","2024","adj_xhr","23.24",2,11,3,"21.4","14",12.4,"1.6"
"Lodolo, Nick","666157","CIN","2024","adj_xhr","22.61",8,11,1,"7.7","13",10.2,"2.8"
