Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Bubba Thompson","- - -",0.398058252,2,0.106382978,0.59574468,0.29787234,0.214285714,0,10,0.178571428,5,0.5,0.46153846,0.34615385,0.19230769,0.20192308,0.59615385,0.20192308,"Bubba Thompson",22261,669352
"Charlie Morton","ATL",0.277777777,1.8,0.176470588,0.529411764,0.294117647,0,0,0,0,0,0,0.2,0.36,0.44,0.2,0.6,0.2,"Charlie Morton",4676,450203
"Dallas Keuchel","- - -",0.5,7,0.125,0.875,0,0,0,0,0,0,0,0.1,0.5,0.4,0.3,0.5,0.2,"Dallas Keuchel",9434,572971
"Mike Leake","- - -",0.111111111,1.333333333,0.222222222,0.444444444,0.333333333,0,0,0,0,0,0,0.3,0.5,0.2,0.5,0.3,0.2,"Mike Leake",10130,502190
"Christian Colón","CIN",0.2,1.8,0.066666666,0.6,0.333333333,0,0,1,0.111111111,0,0,0.53333333,0.33333333,0.13333333,0.2,0.6,0.2,"Christian Colon",11145,518568
"Henry Ramos","- - -",0.29090909,1.368421052,0.166666666,0.481481481,0.351851851,0.052631578,0,0,0,0,0,0.32727273,0.45454545,0.21818182,0.16363636,0.63636364,0.2,"Henry Ramos",11481,592656
"José Ureña","- - -",0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.2,0.4,0.4,0.2,"Jose Urena",11589,570632
"Carlos Martinez","STL",0.222222222,2.5,0.222222222,0.555555555,0.222222222,0,0,0,0,0,0,0.4,0.5,0.1,0.4,0.4,0.2,"Carlos Martinez",11682,593372
"Joe Musgrove","- - -",0.19047619,1.538461538,0.131578947,0.526315789,0.342105263,0.076923076,0,0,0,3,0.25,0.4,0.28,0.32,0.22,0.58,0.2,"Joe Musgrove",12970,605397
"José Rondon","- - -",0.214285714,1.571428571,0.142857142,0.523809523,0.333333333,0.142857142,0.035714285,7,0.159090909,0,0,0.4,0.41176471,0.18823529,0.2,0.6,0.2,"Jose Rondon",14140,602922
"Dereck Rodríguez","SFG",0.3,1.25,0.1,0.5,0.4,0,0,0,0,0,0,0.2,0.3,0.5,0.1,0.7,0.2,"Dereck Rodriguez",14509,605446
"Kean Wong","- - -",0.234042553,1.461538461,0.255813953,0.441860465,0.302325581,0,0,2,0.105263157,1,0.142857142,0.36,0.4,0.24,0.14,0.66,0.2,"Kean Wong",15994,642221
"Dinelson Lamet","SDP",0.428571428,6,0.142857142,0.857142857,0,0,0,1,0.166666666,0,0,0.2,0.5,0.3,0.2,0.6,0.2,"Dinelson Lamet",17186,659275
"Luis Alexander Basabe","SFG",0,0.666666666,0,0.4,0.6,0,0,0,0,0,0,0.4,0,0.6,0.2,0.6,0.2,"Luis Alexander Basabe",17839,642772
"Joe McCarthy","SFG",0,0.666666666,0,0.4,0.6,0,0,0,0,0,0,0.4,0.2,0.4,0.4,0.4,0.2,"Joe McCarthy",18399,663411
"Kyle Muller","ATL",0.25,4,0,1,0,0,0,0,0,0,0,0.4,0,0.6,0,0.8,0.2,"Kyle Muller",20167,666205
"Logan Porter","- - -",0.263157894,0.7,0.15,0.35,0.5,0,0.1,0,0,0,0,0.35,0.45,0.2,0.15,0.65,0.2,"Logan Porter",20626,682515
"Ryan Weathers","SDP",0.133333333,5,0.076923076,0.769230769,0.153846153,0,0,0,0,0,0,0.26666667,0.4,0.33333333,0.4,0.4,0.2,"Ryan Weathers",23796,677960
"Jorge Barrosa","ARI",0.172413793,3,0.285714285,0.535714285,0.178571428,0.2,0,0,0,0,0,0.23333333,0.56666667,0.2,0.3,0.5,0.2,"Jorge Barrosa",23968,678489
"Drew Avans","- - -",0.2,2,0.1,0.6,0.3,0,0,0,0,0,0,0.5,0.3,0.2,0.2,0.6,0.2,"Drew Avans",25183,682183
"Tristan Peters","TBR",0,0.5,0.4,0.2,0.4,1,0,0,0,0,0,0.2,0.6,0.2,0.6,0.2,0.2,"Tristan Peters",30063,671976
"Steven Kwan","CLE",0.3,1.046296296,0.247275204,0.384877384,0.367847411,0.07037037,0.055555555,29,0.051327433,7,0.4375,0.32075472,0.35781671,0.32142857,0.13746631,0.66307278,0.19946092,"Steven Kwan",24610,680757
"P.J. Higgins","CHC",0.265306122,1.135135135,0.217821782,0.415841584,0.366336633,0.081081081,0.135135135,5,0.119047619,1,0.2,0.37735849,0.32075472,0.30188679,0.17924528,0.62264151,0.19811321,"P.J. Higgins",18433,664731
"Nick Madrigal","- - -",0.302973977,2.72173913,0.201492537,0.583955223,0.214552238,0.069565217,0.008695652,24,0.076677316,0,0,0.2883549,0.39001848,0.32162662,0.18853974,0.61367837,0.19778189,"Nick Madrigal",20521,663611
"Magneuris Sierra","- - -",0.3,1.847457627,0.232876712,0.497716894,0.269406392,0.118644067,0,9,0.082568807,5,0.357142857,0.39914163,0.31330472,0.28755365,0.22317597,0.57939914,0.19742489,"Magneuris Sierra",17023,642423
"Richie Martin Jr.","BAL",0.244604316,2.052631578,0.171428571,0.557142857,0.271428571,0.157894736,0.105263157,6,0.076923076,2,0.285714285,0.36054422,0.33333333,0.30612245,0.24489796,0.55782313,0.19727891,"Richie Martin Jr.",17736,621006
"Alex Blandino","CIN",0.342857142,1,0.2,0.4,0.4,0.142857142,0.071428571,1,0.071428571,0,0,0.30555556,0.44444444,0.25,0.19444444,0.61111111,0.19444444,"Alex Blandino",16271,607468
"Jose Herrera","ARI",0.243137254,1.258064516,0.173228346,0.460629921,0.366141732,0.150537634,0.032258064,0,0,0,0,0.45683453,0.3057554,0.23741007,0.1618705,0.64388489,0.1942446,"Jose Herrera",17040,645444
"Tres Barrera","- - -",0.303030303,1.666666666,0.272727272,0.454545454,0.272727272,0.222222222,0,0,0,0,0,0.31343284,0.46268657,0.2238806,0.32835821,0.47761194,0.19402985,"Tres Barrera",19977,668663
"Tim Elko","CHW",0.142857142,2,0.032258064,0.64516129,0.322580645,0.2,0.3,0,0,0,0,0.35483871,0.4516129,0.19354839,0.19354839,0.61290323,0.19354839,"Tim Elko",31522,671284
"Joe Ross","WSN",0.428571428,2,0.210526315,0.526315789,0.263157894,0,0,1,0.1,0,0,0.19230769,0.38461538,0.42307692,0.19230769,0.61538462,0.19230769,"Joe Ross",12972,605452
"Nicky Delmonico","CHW",0.25490196,1.333333333,0.192307692,0.461538461,0.346153846,0.222222222,0.055555555,1,0.041666666,0,0,0.36538462,0.38461538,0.25,0.25,0.55769231,0.19230769,"Nicky Delmonico",13157,547170
"Esteban Quiroz","CHC",0.307692307,1.25,0.307692307,0.384615384,0.307692307,0.25,0,0,0,0,0,0.38461538,0.23076923,0.38461538,0.23076923,0.57692308,0.19230769,"Esteban Quiroz",19780,606019
