"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Gray, Josiah","680686","WSH","2022","adj_xhr","23.78",11,25,11,"28.9","38",31.3,"6.7"
"Cole, Gerrit","543037","NYY","2022","adj_xhr","24.31",11,21,16,"44.4","36",33.4,"2.6"
"Ray, Robbie","592662","SEA","2022","adj_xhr","22.9",11,25,12,"34.3","35",32.4,"2.6"
"Gonzales, Marco","594835","SEA","2022","adj_xhr","24.14",13,22,12,"40","30",28.8,"1.2"
"Márquez, Germán","608566","COL","2022","adj_xhr","23.65",15,18,9,"30","30",21.9,"8.1"
"Manaea, Sean","640455","SD","2022","adj_xhr","23.73",5,20,11,"36.7","30",24.6,"5.4"
"Urquidy, José","664353","HOU","2022","adj_xhr","24.46",15,17,12,"41.4","29",24.9,"4.1"
"Darvish, Yu","506433","SD","2022","adj_xhr","23.58",18,19,13,"44.8","29",27,"2.0"
"Morton, Charlie","450203","ATL","2022","adj_xhr","23.4",6,19,11,"37.9","29",25,"4.0"
"Berríos, José","621244","TOR","2022","adj_xhr","23.41",16,22,11,"37.9","29",27.7,"1.3"
"Pivetta, Nick","601713","BOS","2022","adj_xhr","25.14",11,35,4,"14.8","27",31.8,"-4.8"
"Lauer, Eric","641778","MIL","2022","adj_xhr","24.34",11,21,9,"33.3","27",26.6,"0.4"
"Corbin, Patrick","571578","WSH","2022","adj_xhr","22.85",13,22,8,"29.6","27",25.5,"1.5"
"McKenzie, Triston","663474","CLE","2022","adj_xhr","24.3",9,15,13,"48.1","27",26.4,"0.6"
"Lyles, Jordan","543475","BAL","2022","adj_xhr","23.7",15,25,10,"38.5","26",28.4,"-2.4"
"Mikolas, Miles","571945","STL","2022","adj_xhr","23.79",9,15,14,"53.8","26",25.9,"0.1"
"Taillon, Jameson","592791","NYY","2022","adj_xhr","24.14",11,22,9,"34.6","26",26.4,"-0.4"
"Irvin, Cole","608344","ATH","2022","adj_xhr","24.33",15,17,13,"52","25",26.3,"-1.3"
"Bumgarner, Madison","518516","AZ","2022","adj_xhr","23",15,19,11,"44","25",26.3,"-1.3"
"Kuhl, Chad","641771","COL","2022","adj_xhr","23.94",6,17,11,"44","25",22.9,"2.1"
"Garcia, Luis","677651","HOU","2022","adj_xhr","23.72",8,23,4,"16.7","24",20.7,"3.3"
"Bundy, Dylan","605164","MIN","2022","adj_xhr","24.59",16,23,7,"29.2","24",25.4,"-1.4"
"Quantrill, Cal","615698","CLE","2022","adj_xhr","23.23",14,16,12,"50","24",26,"-2.0"
"Giolito, Lucas","608337","CWS","2022","adj_xhr","23.64",9,22,9,"37.5","24",25.8,"-1.8"
"Espino, Paolo","502179","WSH","2022","adj_xhr","23.37",10,21,7,"29.2","24",22.5,"1.5"
"Greene, Hunter","668881","CIN","2022","adj_xhr","23.87",6,15,10,"41.7","24",20.6,"3.4"
"Minor, Mike","501985","CIN","2022","adj_xhr","24.6",3,20,7,"29.2","24",21.2,"2.8"
"Urías, Julio","628711","LAD","2022","adj_xhr","23.46",7,22,4,"16.7","24",20.3,"3.7"
"Gibson, Kyle","502043","PHI","2022","adj_xhr","23.44",9,13,11,"45.8","24",20.7,"3.3"
"Nola, Aaron","605400","PHI","2022","adj_xhr","23.35",13,23,4,"17.4","23",23.5,"-0.5"
"Musgrove, Joe","605397","SD","2022","adj_xhr","23.03",7,20,7,"30.4","23",21.7,"1.3"
"Burnes, Corbin","669203","MIL","2022","adj_xhr","23.77",7,17,9,"39.1","23",21.9,"1.1"
"Kikuchi, Yusei","579328","TOR","2022","adj_xhr","23.89",5,16,6,"26.1","23",19.5,"3.5"
