Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Dylan Moore","- - -",0.276018099,0.629787234,0.17987152,0.316916488,0.503211991,0.110638297,0.119148936,8,0.054054054,0,0,0.40638298,0.33829787,0.25531915,0.17234043,0.46382979,0.36382979,"Dylan Moore",18042,664238
"Matt Joyce","- - -",0.25,1.181818181,0.272727272,0.393939393,0.333333333,0.181818181,0.09090909,0,0,0,0,0.57575758,0.21212121,0.21212121,0.24242424,0.39393939,0.36363636,"Matt Joyce",3353,459964
"Matt Kemp","- - -",0.390243902,1.357142857,0.25,0.431818181,0.318181818,0.071428571,0.214285714,1,0.052631578,0,0,0.47727273,0.31818182,0.20454545,0.13636364,0.5,0.36363636,"Matt Kemp",5631,461314
"Kevan Smith","- - -",0.302325581,1.64,0.25,0.46590909,0.284090909,0.08,0.08,1,0.024390243,0,0,0.375,0.35227273,0.27272727,0.15909091,0.47727273,0.36363636,"Kevan Smith",12284,607345
"Franklin Barreto","- - -",0.15,1.1,0.045454545,0.5,0.454545454,0.3,0.2,0,0,0,0,0.45454545,0.22727273,0.31818182,0.13636364,0.5,0.36363636,"Franklin Barreto",15519,620439
"Chadwick Tromp","- - -",0.357142857,1.461538461,0.272727272,0.431818181,0.295454545,0,0.153846153,1,0.052631578,0,0,0.45454545,0.38636364,0.15909091,0.06818182,0.56818182,0.36363636,"Chadwick Tromp",16953,644433
"Wil Crowe","PIT",0,3,0.2,0.6,0.2,0.5,0,0,0,0,0,0.18181818,0.54545455,0.27272727,0.36363636,0.27272727,0.36363636,"Wil Crowe",19800,640444
"Jacob Amaya","- - -",0.242424242,1.272727272,0.242424242,0.424242424,0.333333333,0.09090909,0,2,0.142857142,0,0,0.39393939,0.27272727,0.33333333,0.18181818,0.45454545,0.36363636,"Jacob Amaya",23296,676070
"Dalton Rushing","LAD",0.272727272,0.888888888,0.227272727,0.363636363,0.409090909,0.222222222,0,0,0,0,0,0.54545455,0.27272727,0.18181818,0.18181818,0.45454545,0.36363636,"Dalton Rushing",31382,687221
"Miguel Cabrera","DET",0.367952522,1.726315789,0.253602305,0.472622478,0.273775216,0.052631578,0.105263157,6,0.036585365,0,0,0.36887608,0.34293948,0.28818444,0.10662824,0.53025937,0.36311239,"Miguel Cabrera",1744,408234
"Salvador Perez","KCR",0.290384615,0.801619433,0.208185053,0.352313167,0.439501779,0.076923076,0.170040485,6,0.03030303,0,0,0.45551601,0.33985765,0.20462633,0.15836299,0.47864769,0.36298932,"Salvador Perez",7304,521692
"Xander Bogaerts","- - -",0.33877551,1.345864661,0.188556566,0.465539661,0.345903771,0.04887218,0.127819548,41,0.114525139,0,0,0.42522757,0.3289987,0.24577373,0.13784135,0.4993498,0.36280884,"Xander Bogaerts",12161,593428
"Tyler Soderstrom","OAK",0.336065573,1.348837209,0.204724409,0.456692913,0.338582677,0.023255813,0.116279069,5,0.086206896,0,0,0.33858268,0.36220472,0.2992126,0.18110236,0.45669291,0.36220472,"Tyler Soderstrom",27467,691016
"Marcell Ozuna","- - -",0.296774193,1.079787234,0.218,0.406,0.376,0.079787234,0.191489361,7,0.034482758,0,0,0.444,0.33,0.226,0.132,0.506,0.362,"Marcell Ozuna",10324,542303
"Sean Murphy","- - -",0.261235955,1.019736842,0.202597402,0.402597402,0.394805194,0.065789473,0.190789473,7,0.04516129,0,0,0.46493506,0.34025974,0.19480519,0.14545455,0.49350649,0.36103896,"Sean Murphy",19352,669221
"Andrew Vaughn","- - -",0.308467741,1,0.176015473,0.411992263,0.411992263,0.061032863,0.098591549,12,0.056338028,0,0,0.36679537,0.35328185,0.27992278,0.1042471,0.53474903,0.36100386,"Andrew Vaughn",26197,683734
"Jacob Stallings","- - -",0.273291925,1.217741935,0.181547619,0.449404761,0.369047619,0.008064516,0.112903225,3,0.019867549,0,0,0.41420118,0.33136095,0.25443787,0.12130178,0.51775148,0.36094675,"Jacob Stallings",13723,607732
"Randy Arozarena","- - -",0.321626617,1.004115226,0.164665523,0.418524871,0.416809605,0.12345679,0.181069958,27,0.110655737,1,0.5,0.42905983,0.34017094,0.23076923,0.18461538,0.45470085,0.36068376,"Randy Arozarena",19290,668227
"Tommy Edman","- - -",0.28975265,1.199095022,0.187290969,0.443143812,0.369565217,0.099547511,0.153846153,21,0.079245283,1,0.25,0.45348837,0.32225914,0.22425249,0.16445183,0.47508306,0.36046512,"Tommy Edman",19470,669242
"Andy Ibáñez","- - -",0.310945273,0.731958762,0.198090692,0.338902147,0.463007159,0.103092783,0.087628865,10,0.070422535,0,0,0.37470167,0.37947494,0.24582339,0.150358,0.48926014,0.36038186,"Andy Ibanez",18819,628451
"Eduardo Escobar","- - -",0.298245614,0.787755102,0.199268738,0.352833638,0.447897623,0.061224489,0.13877551,19,0.098445595,0,0,0.46617916,0.33820841,0.19561243,0.14259598,0.49725777,0.36014625,"Eduardo Escobar",6153,500871
"Shea Langeliers","OAK",0.289855072,1,0.226666666,0.386666666,0.386666666,0.120689655,0.206896551,10,0.086206896,0,0,0.45,0.35333333,0.19666667,0.14666667,0.49333333,0.36,"Shea Langeliers",25816,669127
"Juan Soto","- - -",0.286368843,1.328220858,0.180345572,0.467602591,0.352051835,0.107361963,0.184049079,26,0.060046189,5,0.625,0.40899358,0.36616702,0.2248394,0.16916488,0.47109208,0.35974304,"Juan Soto",20123,665742
"Enrique Hernández","- - -",0.254545454,0.876666666,0.193409742,0.37679083,0.429799426,0.073333333,0.126666666,11,0.041825095,0,0,0.40544413,0.34383954,0.25071633,0.14756447,0.49283668,0.35959885,"Enrique Hernandez",10472,571771
"Carlos Narváez","- - -",0.294117647,1.310344827,0.247191011,0.426966292,0.325842696,0.068965517,0.137931034,2,0.052631578,0,0,0.33707865,0.35955056,0.30337079,0.1011236,0.53932584,0.35955056,"Carlos Narvaez",19722,665966
"Tyrone Taylor","- - -",0.291316526,0.867088607,0.202702702,0.37027027,0.427027027,0.126582278,0.094936708,13,0.09489051,1,0.333333333,0.44235925,0.35120643,0.20643432,0.15281501,0.48793566,0.35924933,"Tyrone Taylor",13675,621438
"Ryan McMahon","- - -",0.299509001,1.61025641,0.188197767,0.500797448,0.311004784,0.061538461,0.169230769,14,0.044585987,9,0.5,0.3503876,0.36124031,0.28837209,0.14396285,0.49690402,0.35913313,"Ryan McMahon",15112,641857
"Adolis García","TEX",0.280392156,0.892116182,0.167883211,0.392335766,0.439781021,0.116182572,0.161825726,18,0.08372093,1,1,0.46630237,0.30965392,0.22404372,0.14936248,0.49180328,0.35883424,"Adolis Garcia",19287,666969
"Brandon Drury","- - -",0.304,1.257352941,0.230576441,0.428571428,0.34085213,0.102941176,0.176470588,7,0.040935672,0,0,0.45864662,0.30576441,0.23558897,0.18796992,0.45363409,0.35839599,"Brandon Drury",11615,592273
"Madison Bumgarner","- - -",0.166666666,0.375,0.153846153,0.23076923,0.615384615,0.25,0.125,0,0,0,0,0.71428571,0.07142857,0.21428571,0.28571429,0.35714286,0.35714286,"Madison Bumgarner",5524,518516
"Michael Hermosillo","- - -",0.259259259,0.909090909,0.222222222,0.37037037,0.407407407,0.181818181,0.09090909,1,0.1,0,0,0.46428571,0.32142857,0.21428571,0.14285714,0.5,0.35714286,"Michael Hermosillo",16285,641684
"Michael Toglia","COL",0.267759562,0.816091954,0.193877551,0.362244897,0.443877551,0.103448275,0.149425287,4,0.056338028,0,0,0.43877551,0.34693878,0.21428571,0.14795918,0.49489796,0.35714286,"Michael Toglia",25845,669911
"Alejandro Kirk","TOR",0.289340101,1.413043478,0.18581907,0.476772616,0.337408312,0.123188405,0.108695652,14,0.071794871,0,0,0.38875306,0.28117359,0.33007335,0.14914425,0.49388753,0.35696822,"Alejandro Kirk",22581,672386
