"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Guerrero Jr., Vladimir","665489","TOR","2021","adj_xhr","27.37",8,29,25,"52.1","48",46.1,"1.9"
"Perez, Salvador","521692","KC","2021","adj_xhr","26.63",7,31,27,"56.3","48",50.4,"-2.4"
"Ohtani, Shohei","660271","LAA","2021","adj_xhr","22.87",8,25,25,"54.3","46",44.3,"1.7"
"Semien, Marcus","543760","TOR","2021","adj_xhr","23.58",16,23,26,"57.8","45",41.3,"3.7"
"Devers, Rafael","646240","BOS","2021","adj_xhr","25.15",6,34,17,"39.5","43",43.3,"-0.3"
"Tatis Jr., Fernando","665487","SD","2021","adj_xhr","26.84",7,20,24,"57.1","42",39.7,"2.3"
"Duvall, Adam","594807","ATL","2021","adj_xhr","23.49",8,18,27,"65.9","41",41,"0.0"
"Lowe, Brandon","664040","TB","2021","adj_xhr","23.88",11,27,13,"33.3","39",32.7,"6.3"
"Haniger, Mitch","571745","SEA","2021","adj_xhr","21.49",7,30,18,"46.2","39",39.4,"-0.4"
"Judge, Aaron","592450","NYY","2021","adj_xhr","23.41",6,21,17,"43.6","39",34.1,"4.9"
"Olson, Matt","621566","ATH","2021","adj_xhr","24.46",11,28,16,"41","39",37.8,"1.2"
"Gallo, Joey","608336","NYY","2021","adj_xhr","22.23",6,22,18,"47.4","38",36.7,"1.3"
"Alonso, Pete","624413","NYM","2021","adj_xhr","23.26",10,19,25,"67.6","37",37.5,"-0.5"
"Votto, Joey","458015","CIN","2021","adj_xhr","23.26",12,19,16,"44.4","36",30.9,"5.1"
"Ramírez, José","608070","CLE","2021","adj_xhr","25.54",9,24,19,"52.8","36",35.6,"0.4"
"Altuve, Jose","514888","HOU","2021","adj_xhr","25.73",17,12,19,"52.8","36",29.6,"6.4"
"Stanton, Giancarlo","519317","NYY","2021","adj_xhr","24.04",8,18,18,"50","36",31.8,"4.2"
"Muncy, Max","571970","LAD","2021","adj_xhr","24.37",13,30,9,"25","36",34.3,"1.7"
"Freeman, Freddie","518692","ATL","2021","adj_xhr","21.98",12,26,15,"41.7","36",35.7,"0.3"
"Seager, Kyle","572122","SEA","2021","adj_xhr","21.1",11,26,14,"40","35",35.4,"-0.4"
