"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Alonso, Pete","624413","NYM","2019","adj_xhr","21.97",8,28,28,"52.8","53",50.4,"2.6"
"Suárez, Eugenio","553993","CIN","2019","adj_xhr","24.44",20,25,16,"32.7","49",35.3,"13.7"
"Soler, Jorge","624585","KC","2019","adj_xhr","25.37",16,25,29,"60.4","48",49.4,"-1.4"
"Bellinger, Cody","641355","LAD","2019","adj_xhr","22.89",17,30,14,"29.8","47",37.3,"9.7"
"Bregman, Alex","608324","HOU","2019","adj_xhr","24.72",17,24,18,"40","45",31.4,"13.6"
"Trout, Mike","545361","LAA","2019","adj_xhr","24.71",12,18,27,"60","45",40.7,"4.3"
"Yelich, Christian","592885","MIL","2019","adj_xhr","22.85",11,20,20,"45.5","44",37.1,"6.9"
"Springer, George","543807","HOU","2019","adj_xhr","21.72",7,24,21,"48.8","43",39.4,"3.6"
"Acuña Jr., Ronald","660670","ATL","2019","adj_xhr","24.91",12,22,25,"59.5","42",42.7,"-0.7"
"Cruz, Nelson","443558","MIN","2019","adj_xhr","26.85",10,29,19,"45.2","42",44.4,"-2.4"
"Arenado, Nolan","571448","COL","2019","adj_xhr","22.42",12,22,18,"43.9","41",33.7,"7.3"
"Torres, Gleyber","650402","NYY","2019","adj_xhr","24.42",15,25,14,"34.1","41",33.4,"7.6"
"Soto, Juan","665742","WSH","2019","adj_xhr","24.58",16,27,17,"43.6","39",36.8,"2.2"
"Freeman, Freddie","518692","ATL","2019","adj_xhr","22.07",13,24,19,"48.7","39",37.9,"1.1"
"Schwarber, Kyle","656941","CHC","2019","adj_xhr","24.79",17,24,18,"47.4","38",35.1,"2.9"
"Donaldson, Josh","518626","ATL","2019","adj_xhr","23.21",12,28,13,"34.2","38",35.8,"2.2"
"Muncy, Max","571970","LAD","2019","adj_xhr","24.41",10,30,11,"28.9","38",33.5,"4.5"
"Rendon, Anthony","543685","WSH","2019","adj_xhr","23.16",22,35,17,"45.9","37",40,"-3.0"
"Reyes, Franmil","614177","CLE","2019","adj_xhr","23.54",10,26,13,"35.1","37",35.8,"1.2"
"Bell, Josh","605137","PIT","2019","adj_xhr","22.59",15,20,20,"54.1","37",35.6,"1.4"
"Pederson, Joc","592626","LAD","2019","adj_xhr","26.39",5,26,13,"35.1","37",32.8,"4.2"
"Chapman, Matt","656305","ATH","2019","adj_xhr","23",11,25,17,"47.2","36",36,"0.0"
"Altuve, Jose","514888","HOU","2019","adj_xhr","24.84",12,15,16,"44.4","36",29,"7.0"
"Goldschmidt, Paul","502671","STL","2019","adj_xhr","22.81",14,25,19,"52.8","36",38.6,"-2.6"
"Olson, Matt","621566","ATH","2019","adj_xhr","23.72",9,29,14,"38.9","36",36.9,"-0.9"
"Kepler, Max","596146","MIN","2019","adj_xhr","19.77",10,27,14,"38.9","36",35.1,"0.9"
"Martinez, J.D.","502110","BOS","2019","adj_xhr","22.38",12,28,15,"41.7","36",37.5,"-1.5"
"Sánchez, Gary","596142","NYY","2019","adj_xhr","24.68",6,11,23,"65.7","35",32.3,"2.7"
"Harper, Bryce","547180","PHI","2019","adj_xhr","22.87",18,20,20,"57.1","35",35.6,"-0.6"
"Escobar, Eduardo","500871","AZ","2019","adj_xhr","22.03",14,27,13,"37.1","35",33.2,"1.8"
"Moustakas, Mike","519058","MIL","2019","adj_xhr","21.41",12,26,13,"37.1","35",32.9,"2.1"
"Story, Trevor","596115","COL","2019","adj_xhr","22.76",10,21,14,"40","35",29.2,"5.8"
"Mancini, Trey","641820","BAL","2019","adj_xhr","21.96",12,32,8,"22.9","35",30.8,"4.2"
