"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Devers, Rafael",646240,"SF","FF","4-Seam Fastball",1,13,"1304",42.6,"261","0.249","0.512","0.388",34.9,29.5,18.3,"0.24","0.528","0.382",64.5
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",-1,-10,"1022",36.7,"261","0.247","0.357","0.306",5.9,4.2,4.6,"0.259","0.349","0.308",12.6
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",0.8,10,"1239",41.2,"258","0.286","0.471","0.385",10.7,9.7,7.9,"0.291","0.45","0.377",28.3
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.3,3,"999",40.5,"257","0.333","0.491","0.372",5.1,3.9,4.4,"0.283","0.374","0.308",19.8
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",1.5,16,"1084",36.9,"254","0.285","0.589","0.415",15.8,14.6,11.6,"0.285","0.552","0.405",52.8
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.7,7,"988",37.7,"252","0.276","0.491","0.386",25.4,23.4,21.8,"0.262","0.445","0.365",54.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",1.7,16,"966",34.1,"250","0.23","0.594","0.389",26.3,28.4,22.8,"0.233","0.591","0.386",52.4
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",1.6,15,"914",32.7,"248","0.256","0.558","0.381",18,15.3,14.3,"0.264","0.6","0.395",52.7
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",0.3,3,"977",37,"245","0.28","0.395","0.37",9.2,9,10.5,"0.257","0.364","0.345",34.6
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.3,3,"875",34,"239","0.247","0.502","0.361",11.5,13,13.5,"0.255","0.505","0.346",43.7
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",1.3,15,"1125",45.3,"237","0.233","0.497","0.378",29.1,34.6,22.4,"0.198","0.46","0.357",51.4
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",0.8,9,"1080",39.5,"235","0.287","0.436","0.385",21.5,18.7,14.4,"0.247","0.372","0.349",26
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.2,-3,"1077",39.6,"229","0.212","0.353","0.321",20,24.9,19.6,"0.239","0.437","0.36",50.8
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.9,9,"1043",33,"225","0.272","0.511","0.392",27.7,24.4,15.4,"0.238","0.502","0.374",58.8
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-1,-9,"883",39.2,"225","0.247","0.34","0.317",12.4,18.2,17.9,"0.242","0.314","0.303",35.1
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",1,8,"763",32,"223","0.305","0.527","0.396",21.8,15.7,17.2,"0.288","0.535","0.379",47.6
"Yastrzemski, Mike",573262,"KC","FF","4-Seam Fastball",-0.9,-8,"920",39.9,"223","0.201","0.381","0.305",18.1,20.2,18.3,"0.225","0.454","0.34",47.3
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",-0.2,-2,"852",33.8,"221","0.237","0.407","0.325",29.4,29.9,24.8,"0.224","0.405","0.317",47.3
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",-0.5,-5,"951",36.5,"220","0.247","0.403","0.332",23.1,22.7,16.2,"0.252","0.451","0.351",52.1
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",0.7,6,"830",31,"216","0.29","0.56","0.393",31.8,25,23.6,"0.248","0.516","0.36",56.1
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",0.4,3,"824",35.7,"215","0.299","0.446","0.369",10.1,10.2,10.6,"0.27","0.377","0.333",27.1
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0.2,1,"908",31.6,"214","0.213","0.461","0.35",31.1,29.9,21.1,"0.237","0.519","0.38",62.9
"Greene, Riley",682985,"DET","FF","4-Seam Fastball",-0.2,-2,"950",35.1,"212","0.24","0.427","0.32",27.2,30.2,19.5,"0.233","0.476","0.332",41.9
"Lowe, Nathaniel",663993,"BOS","FF","4-Seam Fastball",0.1,1,"1025",39.3,"212","0.263","0.425","0.351",25.7,29.2,19.1,"0.255","0.429","0.351",44.5
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",1.5,13,"860",30,"212","0.255","0.596","0.395",28.7,25.9,26.8,"0.282","0.71","0.445",68.7
"Story, Trevor",596115,"BOS","FF","4-Seam Fastball",-0.5,-4,"869",35.2,"211","0.234","0.335","0.29",23,27.5,21.1,"0.24","0.405","0.302",54
"Bellinger, Cody",641355,"NYY","FF","4-Seam Fastball",0.5,4,"818",31.5,"210","0.246","0.486","0.358",17.3,14.3,12.9,"0.254","0.49","0.358",38.5
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.6,-4,"688",31.4,"210","0.246","0.403","0.318",17,13.3,16.8,"0.291","0.478","0.359",48.8
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",0.2,2,"877",40.8,"210","0.247","0.432","0.322",30.9,27.6,20.2,"0.245","0.468","0.329",54.8
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",0.1,1,"848",36.1,"208","0.284","0.421","0.356",8.5,10.1,9.7,"0.294","0.41","0.351",35.8
"Grisham, Trent",663757,"NYY","FF","4-Seam Fastball",1.4,12,"811",33.9,"206","0.254","0.527","0.409",20.4,19.9,20.1,"0.252","0.573","0.405",55.8
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.6,6,"1016",41.2,"205","0.287","0.5","0.384",16.7,20,12.5,"0.251","0.435","0.342",37
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",2.4,18,"735",29.4,"205","0.32","0.68","0.448",26.6,25.4,24.8,"0.283","0.613","0.411",58.6
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",3.6,29,"804",26.3,"204","0.283","0.775","0.479",25.7,25,21.5,"0.278","0.759","0.469",63.1
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",1.1,9,"881",40.3,"203","0.278","0.404","0.401",11.8,11.8,8.4,"0.253","0.412","0.385",41.1
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-0.9,-7,"773",32.8,"203","0.214","0.318","0.3",14.4,14.3,11.9,"0.234","0.399","0.333",40
"Albies, Ozzie",645277,"ATL","FF","4-Seam Fastball",0.9,6,"726",30.3,"203","0.235","0.441","0.341",21.1,17.2,16.7,"0.219","0.405","0.313",37
"Torres, Gleyber",650402,"DET","FF","4-Seam Fastball",0.8,7,"824",31.1,"202","0.278","0.424","0.391",21.4,16.8,12.3,"0.304","0.562","0.431",50.8
"Tucker, Kyle",663656,"CHC","FF","4-Seam Fastball",1.5,10,"704",30.5,"201","0.264","0.509","0.4",12.4,10.9,13.3,"0.283","0.6","0.43",49.3
"Wood, James",695578,"WSH","FF","4-Seam Fastball",1.4,11,"793",27.5,"200","0.299","0.576","0.404",24,34,28.8,"0.303","0.62","0.42",71.8
