"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Judge, Aaron","592450","NYY","2024","adj_xhr","23.89",13,36,30,"49.2","61",56.1,"4.9"
"Ohtani, Shohei","660271","LAD","2024","adj_xhr","23.3",20,26,33,"57.9","57",52.9,"4.1"
"Soto, Juan","665742","NYY","2024","adj_xhr","27.41",17,29,25,"55.6","45",47.7,"-2.7"
"Santander, Anthony","623993","BAL","2024","adj_xhr","28.09",10,22,20,"45.5","44",36.5,"7.5"
"Ramírez, José","608070","CLE","2024","adj_xhr","24.81",14,25,20,"48.8","41",40.9,"0.1"
"Rooker, Brent","667670","ATH","2024","adj_xhr","23.55",9,21,24,"61.5","39",40,"-1.0"
"Schwarber, Kyle","656941","PHI","2024","adj_xhr","25.28",5,21,23,"59","39",38.3,"0.7"
"Ozuna, Marcell","542303","ATL","2024","adj_xhr","30.17",16,31,19,"48.7","39",43.2,"-4.2"
"Alonso, Pete","624413","NYM","2024","adj_xhr","22.8",5,22,21,"55.3","38",35.6,"2.4"
"Henderson, Gunnar","683002","BAL","2024","adj_xhr","23.18",10,25,12,"32.4","37",32.7,"4.3"
"Marte, Ketel","606466","AZ","2024","adj_xhr","23.54",10,19,16,"44.4","36",30.8,"5.2"
"Hernández, Teoscar","606192","LAD","2024","adj_xhr","25.18",6,26,14,"38.9","36",35.1,"0.9"
"Alvarez, Yordan","670541","HOU","2024","adj_xhr","27.37",15,21,14,"40","35",29.6,"5.4"
"Lindor, Francisco","596019","NYM","2024","adj_xhr","23.62",13,21,18,"51.4","35",33.3,"1.7"
"Raleigh, Cal","663728","SEA","2024","adj_xhr","23.39",12,20,18,"52.9","34",33,"1.0"
"Stanton, Giancarlo","519317","NYY","2024","adj_xhr","23.94",16,16,21,"61.8","34",35.5,"-1.5"
"Adames, Willy","642715","MIL","2024","adj_xhr","24.75",14,25,11,"34.4","32",31.8,"0.2"
"Witt Jr., Bobby","677951","KC","2024","adj_xhr","21.06",14,24,21,"65.6","32",38.2,"-6.2"
"Vientos, Mark","668901","NYM","2024","adj_xhr","23.19",7,21,10,"31.3","32",25.8,"6.2"
"Naylor, Josh","647304","CLE","2024","adj_xhr","27.81",6,21,13,"41.9","31",29.4,"1.6"
"Harper, Bryce","547180","PHI","2024","adj_xhr","25.99",13,20,9,"29","31",25.6,"5.4"
"O'Neill, Tyler","641933","BOS","2024","adj_xhr","21.2",7,17,15,"48.4","31",29.3,"1.7"
"Seager, Corey","608369","TEX","2024","adj_xhr","22.63",16,21,8,"26.7","30",26.9,"3.1"
"Suárez, Eugenio","553993","AZ","2024","adj_xhr","24.84",7,23,10,"33.3","30",25.9,"4.1"
"Machado, Manny","592518","SD","2024","adj_xhr","28.4",11,24,10,"33.3","30",28.1,"1.9"
"Guerrero Jr., Vladimir","665489","TOR","2024","adj_xhr","27.93",14,23,15,"50","30",31.7,"-1.7"
"Olson, Matt","621566","ATL","2024","adj_xhr","24.98",15,22,13,"44.8","29",28.4,"0.6"
"Burger, Jake","669394","MIA","2024","adj_xhr","23.07",11,15,17,"58.6","29",27.8,"1.2"
"Langeliers, Shea","669127","ATH","2024","adj_xhr","22.72",5,16,15,"51.7","29",27.9,"1.1"
"Devers, Rafael","646240","BOS","2024","adj_xhr","24.4",9,21,11,"39.3","28",26.6,"1.4"
"Perez, Salvador","521692","KC","2024","adj_xhr","27.48",14,22,16,"57.1","28",32.6,"-4.6"
"Chapman, Matt","656305","SF","2024","adj_xhr","22.6",14,17,12,"44.4","27",26.1,"0.9"
"Freeman, Freddie","518692","LAD","2024","adj_xhr","22.02",15,20,6,"23.1","26",22.3,"3.7"
"Bregman, Alex","608324","HOU","2024","adj_xhr","23.13",8,25,6,"23.1","26",24.9,"1.1"
"Tovar, Ezequiel","678662","COL","2024","adj_xhr","22.48",7,19,10,"38.5","26",25.3,"0.7"
"Walker, Christian","572233","AZ","2024","adj_xhr","25.19",9,16,13,"50","26",25.3,"0.7"
"Chisholm Jr., Jazz","665862","NYY","2024","adj_xhr","26.77",11,17,10,"38.5","26",25.1,"0.9"
"Hoskins, Rhys","656555","MIL","2024","adj_xhr","22.61",9,14,11,"42.3","26",22.7,"3.3"
"Merrill, Jackson","701538","SD","2024","adj_xhr","22.85",18,24,7,"28","25",25.7,"-0.7"
"Ward, Taylor","621493","LAA","2024","adj_xhr","24.22",14,20,8,"32","25",23.4,"1.6"
"García, Adolis","666969","TEX","2024","adj_xhr","26.54",15,22,8,"32","25",25.7,"-0.7"
"De La Cruz, Elly","682829","CIN","2024","adj_xhr","26.9",4,16,9,"36","25",21.5,"3.5"
"Toglia, Michael","669911","COL","2024","adj_xhr","21.87",12,17,8,"32","25",21.5,"3.5"
"Tatis Jr., Fernando","665487","SD","2024","adj_xhr","25.94",8,20,10,"40","25",24.3,"0.7"
"Happ, Ian","664023","CHC","2024","adj_xhr","22.71",10,22,8,"32","25",23.7,"1.3"
"Nimmo, Brandon","607043","NYM","2024","adj_xhr","20.03",7,14,9,"37.5","24",19.2,"4.8"
"Greene, Riley","682985","DET","2024","adj_xhr","22.74",8,23,7,"29.2","24",25.6,"-1.6"
"Reynolds, Bryan","668804","PIT","2024","adj_xhr","24.63",8,17,11,"45.8","24",23.9,"0.1"
"Cowser, Colton","681297","BAL","2024","adj_xhr","22.96",9,14,11,"45.8","24",22.2,"1.8"
"Castellanos, Nick","592206","PHI","2024","adj_xhr","22.12",7,16,8,"33.3","24",20.4,"3.6"
"Profar, Jurickson","595777","SD","2024","adj_xhr","26.98",10,15,8,"33.3","24",20.5,"3.5"
"DeJong, Paul","657557","KC","2024","adj_xhr","22.59",13,12,9,"37.5","24",20.3,"3.7"
"Tucker, Kyle","663656","HOU","2024","adj_xhr","24.69",10,12,7,"30.4","23",16.8,"6.2"
"Neto, Zach","687263","LAA","2024","adj_xhr","24.68",9,16,8,"34.8","23",22,"1.0"
"Pederson, Joc","592626","AZ","2024","adj_xhr","26.14",2,8,15,"65.2","23",21.5,"1.5"
"Smith, Will","669257","LAD","2024","adj_xhr","21.95",12,17,7,"30.4","23",19.4,"3.6"
"Chourio, Jackson","694192","MIL","2024","adj_xhr","24.03",10,20,5,"21.7","23",19.8,"3.2"
"Semien, Marcus","543760","TEX","2024","adj_xhr","22.58",12,29,6,"26.1","23",26.2,"-3.2"
"Betts, Mookie","605141","LAD","2024","adj_xhr","22.96",10,19,5,"21.7","23",18.9,"4.1"
"Doyle, Brenton","686668","COL","2024","adj_xhr","21.29",5,17,10,"43.5","23",21.7,"1.3"
"Santana, Carlos","467793","MIN","2024","adj_xhr","24.2",6,17,9,"39.1","23",22.8,"0.2"
"Contreras, William","661388","MIL","2024","adj_xhr","26.21",9,21,8,"34.8","23",23.2,"-0.2"
"Goldschmidt, Paul","502671","STL","2024","adj_xhr","23.98",11,18,9,"40.9","22",22.6,"-0.6"
"Soler, Jorge","624585","ATL","2024","adj_xhr","26.32",10,16,12,"54.5","22",24.3,"-2.3"
"Ramos, Heliot","671218","SF","2024","adj_xhr","24.18",4,21,10,"45.5","22",24.7,"-2.7"
"Butler, Lawrence","671732","ATH","2024","adj_xhr","27.44",9,16,5,"22.7","22",16.2,"5.8"
"Raley, Luke","670042","SEA","2024","adj_xhr","20.72",3,15,11,"50","22",22.3,"-0.3"
"Carroll, Corbin","682998","AZ","2024","adj_xhr","21.57",13,15,9,"40.9","22",19.7,"2.3"
"Lowe, Brandon","664040","TB","2024","adj_xhr","24.91",8,16,10,"47.6","21",21.4,"-0.4"
"Suzuki, Seiya","673548","CHC","2024","adj_xhr","21.89",8,16,7,"33.3","21",19.9,"1.1"
"Duran, Jarren","680776","BOS","2024","adj_xhr","21.04",17,12,12,"57.1","21",21.8,"-0.8"
"Jeffers, Ryan","680777","MIN","2024","adj_xhr","23.2",3,18,4,"19","21",17.8,"3.2"
"Cruz, Oneil","665833","PIT","2024","adj_xhr","26.46",3,15,12,"57.1","21",21.9,"-0.9"
"Morel, Christopher","666624","TB","2024","adj_xhr","26.05",8,12,12,"57.1","21",21.2,"-0.2"
"De La Cruz, Bryan","650559","PIT","2024","adj_xhr","27.25",10,14,8,"38.1","21",18.2,"2.8"
"Busch, Michael","683737","CHC","2024","adj_xhr","21.87",3,15,11,"52.4","21",21.2,"-0.2"
"Turner, Trea","607208","PHI","2024","adj_xhr","23.07",5,13,10,"47.6","21",19.3,"1.7"
"Burleson, Alec","676475","STL","2024","adj_xhr","23.92",12,18,4,"19","21",18.8,"2.2"
"Rodríguez, Julio","677594","SEA","2024","adj_xhr","25.84",13,9,13,"65","20",20.6,"-0.6"
"McMahon, Ryan","641857","COL","2024","adj_xhr","21.77",11,17,5,"25","20",18.1,"1.9"
"Arozarena, Randy","668227","SEA","2024","adj_xhr","29.71",7,16,10,"50","20",21.6,"-1.6"
"Candelario, Jeimer","600869","CIN","2024","adj_xhr","24.79",6,18,4,"20","20",17,"3.0"
"Higashioka, Kyle","543309","SD","2024","adj_xhr","23.95",7,14,7,"35","20",16.3,"3.7"
"Bleday, JJ","668709","ATH","2024","adj_xhr","21.97",10,19,7,"35","20",21.9,"-1.9"
"Conforto, Michael","624424","SF","2024","adj_xhr","22.41",9,16,9,"45","20",20.8,"-0.8"
"Steer, Spencer","668715","CIN","2024","adj_xhr","23.59",10,16,5,"25","20",16.7,"3.3"
"Adell, Jo","666176","LAA","2024","adj_xhr","23.72",10,10,11,"55","20",17.2,"2.8"
"McCutchen, Andrew","457705","PIT","2024","adj_xhr","24.56",8,15,9,"45","20",20.3,"-0.3"
"Benintendi, Andrew","643217","CWS","2024","adj_xhr","24.36",6,12,9,"45","20",18,"2.0"
"Altuve, Jose","514888","HOU","2024","adj_xhr","24.9",7,11,9,"45","20",17.4,"2.6"
"O'Hoppe, Logan","681351","LAA","2024","adj_xhr","25.05",7,12,8,"40","20",16.7,"3.3"
"Abrams, CJ","682928","WSH","2024","adj_xhr","24.59",10,15,5,"25","20",17.6,"2.4"
"Riley, Austin","663586","ATL","2024","adj_xhr","22.81",11,15,7,"36.8","19",19.9,"-0.9"
