"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"López, Reynaldo",625643,"CWS","FF","4-Seam Fastball",-0.7,-13,"1850",58.5,"490","0.292","0.455","0.378",19.5,19.4,17.8,"0.271","0.483","0.362",42.4
"Lynn, Lance",458681,"TEX","FF","4-Seam Fastball",1.1,20,"1858",54.1,"458","0.218","0.403","0.303",30.5,31.4,25,"0.214","0.392","0.296",38
"Hudson, Dakota",641712,"STL","SI","Sinker",-0.7,-9,"1386",48.7,"408","0.289","0.466","0.38",13.4,10.3,14.3,"0.302","0.471","0.377",43.9
"Cole, Gerrit",543037,"HOU","FF","4-Seam Fastball",2,36,"1733",51.6,"401","0.166","0.348","0.264",37.6,44.4,32.8,"0.165","0.316","0.246",40
"Flaherty, Jack",656427,"STL","FF","4-Seam Fastball",1.6,24,"1476",46.4,"399","0.194","0.343","0.274",21.9,26.8,20.4,"0.234","0.422","0.309",36.4
"Boyd, Matthew",571510,"DET","FF","4-Seam Fastball",-0.6,-9,"1544",49.8,"398","0.269","0.533","0.369",24,26.4,23.2,"0.235","0.46","0.32",39.7
"Bieber, Shane",669456,"CLE","FF","4-Seam Fastball",0.5,7,"1474",45.7,"379","0.231","0.44","0.323",13.7,26.4,23.4,"0.263","0.503","0.345",48.4
"Giolito, Lucas",608337,"CWS","FF","4-Seam Fastball",1,16,"1548",55,"374","0.203","0.364","0.29",26,31,25,"0.211","0.371","0.29",39.8
"Odorizzi, Jake",543606,"MIN","FF","4-Seam Fastball",1.2,19,"1614",57.9,"372","0.209","0.372","0.293",30.5,32.8,21.6,"0.204","0.396","0.296",41
"Fried, Max",608331,"ATL","FF","4-Seam Fastball",0.1,2,"1418",53.1,"371","0.316","0.459","0.38",20.6,15.4,17,"0.294","0.453","0.357",47.3
"Sparkman, Glenn",642098,"KC","FF","4-Seam Fastball",0,0,"1380",60.7,"360","0.307","0.527","0.383",14.8,11.9,12.9,"0.302","0.531","0.372",44.7
"Nova, Iván",467100,"CWS","SI","Sinker",-1.1,-12,"1101",36.7,"355","0.333","0.508","0.411",10.6,11.5,13.4,"0.298","0.466","0.358",41.5
"Senzatela, Antonio",622608,"COL","FF","4-Seam Fastball",-1.1,-15,"1385",61.9,"353","0.345","0.541","0.424",12.9,10.2,11.3,"0.318","0.503","0.386",47.7
"Lucchesi, Joey",664192,"SD","SI","Sinker",0.9,12,"1355",51.3,"352","0.247","0.407","0.328",17.8,21.9,21.4,"0.228","0.382","0.3",36.8
"Bailey, Homer",456701,"ATH","FF","4-Seam Fastball",0.6,8,"1349",48.1,"351","0.281","0.429","0.358",15.7,15.1,13.3,"0.303","0.512","0.38",46.7
"Bauer, Trevor",545333,"CIN","FF","4-Seam Fastball",-0.6,-8,"1417",38.4,"349","0.272","0.576","0.42",21.8,16,16.2,"0.271","0.565","0.4",46.6
"Paxton, James",572020,"NYY","FF","4-Seam Fastball",0.2,3,"1596",59.9,"347","0.266","0.479","0.365",24.7,21.6,17,"0.246","0.441","0.335",40.3
"Miley, Wade",489119,"HOU","FC","Cutter",-0.2,-3,"1345",47,"343","0.278","0.438","0.359",18.3,16.3,15.9,"0.269","0.415","0.336",35.7
"Minor, Mike",501985,"TEX","FF","4-Seam Fastball",0.9,13,"1497",44.6,"340","0.252","0.435","0.331",23.3,21.5,18.6,"0.241","0.446","0.32",34.5
"Anderson, Brett",474463,"ATH","SI","Sinker",-0.1,-1,"1165",43.8,"340","0.291","0.447","0.365",13,7.9,11.6,"0.297","0.511","0.364",43
"Corbin, Patrick",571578,"WSH","SI","Sinker",0.5,6,"1130",34.3,"337","0.28","0.439","0.357",12.4,15.4,18,"0.281","0.513","0.367",40.3
"Davies, Zach",605200,"MIL","SI","Sinker",-0.5,-7,"1408",52.6,"334","0.291","0.475","0.372",9.2,14.7,12.6,"0.284","0.496","0.358",39.5
"Soroka, Michael",647336,"ATL","SI","Sinker",0.7,8,"1140",44.7,"334","0.29","0.414","0.338",12.7,9.3,13.8,"0.302","0.443","0.346",43.4
"Buehler, Walker",621111,"LAD","FF","4-Seam Fastball",1.5,22,"1505",53.2,"334","0.205","0.368","0.28",24.6,30.8,24.9,"0.217","0.391","0.282",40
"Velasquez, Vince",592826,"PHI","FF","4-Seam Fastball",0.6,8,"1324",62.5,"332","0.22","0.464","0.34",24.7,26.8,19.2,"0.235","0.484","0.338",41.3
"Castillo, Luis",622491,"CIN","CH","Changeup",2.8,28,"998",32.5,"330","0.128","0.199","0.2",47.8,47,30.8,"0.133","0.198","0.197",19.7
"Bumgarner, Madison",518516,"SF","FF","4-Seam Fastball",0.4,6,"1387",42.8,"330","0.249","0.472","0.343",21.7,20.6,16.5,"0.243","0.478","0.325",42.9
"Nola, Aaron",605400,"PHI","CU","Curveball",1.7,19,"1174",35.2,"330","0.201","0.328","0.269",34.6,33,26.7,"0.214","0.343","0.275",34.7
"Arrieta, Jake",453562,"PHI","SI","Sinker",-0.2,-3,"1216",55.5,"330","0.304","0.474","0.382",11.7,13,17.7,"0.29","0.471","0.365",38.8
"Morton, Charlie",450203,"TB","CU","Curveball",2.5,29,"1172",37.4,"329","0.151","0.228","0.192",38.1,41.3,27.1,"0.161","0.23","0.193",18.6
"Verlander, Justin",434378,"HOU","FF","4-Seam Fastball",0.5,7,"1617",49.9,"328","0.229","0.551","0.357",31,31.7,26.3,"0.229","0.518","0.335",49.5
"Lauer, Eric",641778,"SD","FF","4-Seam Fastball",0.6,8,"1332",53.1,"325","0.244","0.401","0.326",21.6,26.8,22.5,"0.226","0.396","0.304",43.4
"Williams, Trevor",592866,"PIT","FF","4-Seam Fastball",-0.1,-1,"1208",51.9,"323","0.268","0.509","0.364",23.1,22.6,19.9,"0.257","0.469","0.338",39.5
"Kikuchi, Yusei",579328,"SEA","FF","4-Seam Fastball",-1.5,-19,"1286",48.9,"321","0.326","0.622","0.429",15.9,12.8,14.7,"0.296","0.529","0.376",45
"Corbin, Patrick",571578,"WSH","SL","Slider",1.7,20,"1224",37.1,"318","0.158","0.266","0.214",51.7,50.6,30,"0.157","0.271","0.205",33.3
"Gray, Jon",592351,"COL","FF","4-Seam Fastball",-1,-12,"1216",51.3,"316","0.337","0.541","0.426",14,11.4,13.3,"0.335","0.534","0.409",52.1
"Kershaw, Clayton",477132,"LAD","SL","Slider",1.5,15,"1006",39.1,"315","0.216","0.355","0.279",33.9,32.7,24.8,"0.229","0.382","0.282",41
"Smith, Caleb",592761,"MIA","FF","4-Seam Fastball",0.5,8,"1431",53.8,"314","0.21","0.483","0.34",25,26.4,19.5,"0.227","0.521","0.352",45.3
"Matz, Steven",571927,"NYM","SI","Sinker",0.1,2,"1367",50.6,"312","0.276","0.442","0.349",20.2,23.7,20.8,"0.261","0.433","0.327",45
"Paddack, Chris",663978,"SD","FF","4-Seam Fastball",1.1,15,"1392",61.1,"312","0.204","0.391","0.3",23.2,29.2,18.6,"0.209","0.386","0.28",35.7
"deGrom, Jacob",594798,"NYM","SL","Slider",2.5,25,"1022",32,"311","0.186","0.276","0.232",35.3,33.8,26,"0.19","0.275","0.226",23.3
"Beede, Tyler",595881,"SF","FF","4-Seam Fastball",0.1,1,"1137",56.1,"311","0.285","0.495","0.374",16.1,15.1,15.4,"0.289","0.556","0.385",48.1
"Bumgarner, Madison",518516,"SF","FC","Cutter",0.4,4,"1082",33.4,"310","0.264","0.458","0.34",25.3,21.9,17.5,"0.288","0.499","0.353",39.9
"Happ, J.A.",457918,"NYY","FF","4-Seam Fastball",-0.4,-6,"1304",48.4,"310","0.243","0.559","0.376",25,24.8,19.2,"0.243","0.532","0.361",45.9
"Verlander, Justin",434378,"HOU","SL","Slider",3.4,31,"929",28.7,"309","0.119","0.22","0.174",39.9,41.1,27.4,"0.145","0.223","0.183",20.8
"Scherzer, Max",453286,"WSH","FF","4-Seam Fastball",1.3,18,"1341",48.4,"306","0.223","0.415","0.309",27.5,33.3,26.3,"0.216","0.397","0.29",40.7
"Sampson, Adrian",592716,"TEX","SI","Sinker",-2.3,-26,"1114",54.2,"305","0.353","0.676","0.466",11.7,11.8,15.4,"0.336","0.641","0.433",53.8
"Stroman, Marcus",573186,"NYM","SI","Sinker",-0.2,-2,"1110",36.5,"303","0.306","0.437","0.382",15.1,11.2,17.8,"0.266","0.39","0.33",41.5
"Ray, Robbie",592662,"AZ","FF","4-Seam Fastball",0.9,12,"1307",42.7,"303","0.221","0.391","0.318",22.2,30.4,24.8,"0.22","0.396","0.321",36.3
"Hendricks, Kyle",543294,"CHC","SI","Sinker",0.3,4,"1120",41.6,"302","0.276","0.44","0.351",16.3,14.6,17.1,"0.278","0.43","0.331",37.2
"Peralta, Freddy",642547,"MIL","FF","4-Seam Fastball",-0.1,-1,"1243",77.7,"301","0.267","0.473","0.373",29.4,28.6,22.1,"0.228","0.433","0.324",40.8
"Chirinos, Yonny",630023,"TB","SI","Sinker",0.5,6,"1092",55,"300","0.271","0.466","0.356",13,14,16.7,"0.306","0.528","0.375",38.1
"Wacha, Michael",608379,"STL","FF","4-Seam Fastball",-1.7,-19,"1089",49.5,"294","0.322","0.574","0.417",11.9,13.6,11.6,"0.305","0.566","0.397",40.2
"Keller, Brad",641745,"KC","FF","4-Seam Fastball",0.2,2,"1131",41.7,"291","0.261","0.411","0.35",18.4,17.2,15.4,"0.282","0.483","0.382",39.7
"Thornton, Trent",663423,"TOR","FF","4-Seam Fastball",-0.1,-1,"1212",44,"290","0.275","0.53","0.392",17.9,17.6,16,"0.278","0.518","0.38",43.7
"Gonzales, Marco",594835,"SEA","FF","4-Seam Fastball",0.2,2,"1246",39.4,"290","0.264","0.425","0.346",15.5,16.9,14.1,"0.272","0.466","0.354",40.4
"Pineda, Michael",501381,"MIN","FF","4-Seam Fastball",0.6,7,"1182",54.2,"288","0.275","0.461","0.348",19.8,19.4,18.5,"0.273","0.508","0.346",42.3
"deGrom, Jacob",594798,"NYM","FF","4-Seam Fastball",1.3,19,"1536",48.2,"287","0.219","0.4","0.301",26.9,27.9,17.4,"0.22","0.398","0.295",37.9
"Turnbull, Spencer",605513,"DET","FF","4-Seam Fastball",1.6,19,"1190",44.8,"284","0.252","0.376","0.329",23.1,19.7,16.5,"0.259","0.436","0.344",37.4
"Mahle, Tyler",641816,"CIN","FF","4-Seam Fastball",0.4,5,"1221",57.1,"283","0.26","0.438","0.336",21.3,26.1,18.5,"0.246","0.432","0.316",43.9
"Teheran, Julio",527054,"ATL","FF","4-Seam Fastball",0.2,3,"1265",41.7,"283","0.232","0.443","0.357",19.5,19.4,15.2,"0.226","0.473","0.356",37.6
"Gibson, Kyle",502043,"MIN","SI","Sinker",-0.2,-2,"886",32.1,"282","0.304","0.462","0.393",12.5,11.3,15,"0.313","0.486","0.375",44.1
"Boyd, Matthew",571510,"DET","SL","Slider",0.7,8,"1123",36.2,"282","0.192","0.341","0.262",43.4,41.8,26,"0.187","0.33","0.247",31.5
"Hendricks, Kyle",543294,"CHC","CH","Changeup",0,0,"755",28.1,"278","0.264","0.415","0.308",24.6,23.4,18.9,"0.232","0.361","0.26",20.3
"Lester, Jon",452657,"CHC","FC","Cutter",-0.3,-3,"1040",34.2,"277","0.283","0.49","0.371",18.8,23.5,20.4,"0.261","0.444","0.332",35.8
"Wainwright, Adam",425794,"STL","CU","Curveball",0.7,7,"1025",36.8,"276","0.24","0.36","0.299",25.6,26.8,21.6,"0.227","0.354","0.278",30.8
"Syndergaard, Noah",592789,"NYM","SI","Sinker",0,0,"920",29.8,"275","0.305","0.466","0.37",17.7,14.9,21,"0.275","0.455","0.34",36.8
