"player","player_id","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Lynn, Lance","458681","LAD","2023","adj_xhr","23.39",8,31,21,"43.8","48",43.6,"4.4"
"Giolito, Lucas","608337","CLE","2023","adj_xhr","23.91",4,26,17,"41.5","41",36.3,"4.7"
"Lyles, Jordan","543475","KC","2023","adj_xhr","24.19",10,22,20,"51.3","39",38.6,"0.4"
"Nola, Aaron","605400","PHI","2023","adj_xhr","22.52",9,24,11,"32.4","34",29.5,"4.5"
"Williams, Trevor","592866","WSH","2023","adj_xhr","23.87",11,22,11,"32.4","34",27.6,"6.4"
"Sears, JP","676664","ATH","2023","adj_xhr","23.02",10,24,19,"55.9","34",35.4,"-1.4"
"Corbin, Patrick","571578","WSH","2023","adj_xhr","23.18",13,23,13,"39.4","33",30.6,"2.4"
"Ryan, Joe","657746","MIN","2023","adj_xhr","23.33",7,23,16,"48.5","33",33.9,"-0.9"
"Scherzer, Max","453286","TEX","2023","adj_xhr","23.17",5,24,10,"33.3","30",28.5,"1.5"
"Gilbert, Logan","669302","SEA","2023","adj_xhr","23.3",9,21,9,"31","29",25.1,"3.9"
"Kopech, Michael","656629","CWS","2023","adj_xhr","23.11",11,22,7,"24.1","29",25,"4.0"
"Freeland, Kyle","607536","COL","2023","adj_xhr","23.74",13,19,10,"34.5","29",24.3,"4.7"
"Kremer, Dean","665152","BAL","2023","adj_xhr","23.51",11,22,12,"41.4","29",30.1,"-1.1"
"Weaver, Luke","596133","NYY","2023","adj_xhr","22.86",8,21,8,"27.6","29",23.1,"5.9"
"Gallen, Zac","668678","AZ","2023","adj_xhr","23.8",17,22,11,"39.3","28",27.1,"0.9"
"Bassitt, Chris","605135","TOR","2023","adj_xhr","23.49",15,18,10,"35.7","28",24.9,"3.1"
"Castillo, Luis","622491","SEA","2023","adj_xhr","23.68",7,21,11,"39.3","28",27.7,"0.3"
"Javier, Cristian","664299","HOU","2023","adj_xhr","23.93",11,20,15,"55.6","27",30.5,"-3.5"
"Kikuchi, Yusei","579328","TOR","2023","adj_xhr","23.17",11,20,12,"44.4","27",25.7,"1.3"
"Taillon, Jameson","592791","CHC","2023","adj_xhr","22.42",13,12,14,"51.9","27",24.8,"2.2"
"Gore, MacKenzie","669022","WSH","2023","adj_xhr","23.57",11,14,13,"48.1","27",24.9,"2.1"
"Peralta, Freddy","642547","MIL","2023","adj_xhr","23.38",8,17,9,"33.3","27",22.2,"4.8"
"Brown, Hunter","686613","HOU","2023","adj_xhr","24.67",8,18,10,"37","27",22.7,"4.3"
"Mikolas, Miles","571945","STL","2023","adj_xhr","23.56",15,28,7,"26.9","26",27.9,"-1.9"
"Smyly, Drew","592767","CHC","2023","adj_xhr","23.23",5,14,13,"50","26",23,"3.0"
"Gomber, Austin","596295","COL","2023","adj_xhr","23.67",6,16,13,"50","26",24.7,"1.3"
"Ober, Bailey","641927","MIN","2023","adj_xhr","23.63",9,18,10,"38.5","26",25.7,"0.3"
"Strider, Spencer","675911","ATL","2023","adj_xhr","23.12",6,22,7,"26.9","26",21,"5.0"
"Pfaadt, Brandon","694297","AZ","2023","adj_xhr","23.45",11,13,14,"56","25",24.3,"0.7"
"Keller, Mitch","656605","PIT","2023","adj_xhr","23.05",5,19,11,"44","25",26,"-1.0"
"Greinke, Zack","425844","KC","2023","adj_xhr","23.18",7,20,9,"36","25",23.9,"1.1"
"Burnes, Corbin","669203","MIL","2023","adj_xhr","23.02",5,17,9,"36","25",22.1,"2.9"
"Wentz, Joey","666214","DET","2023","adj_xhr","23.61",10,15,11,"44","25",23.6,"1.4"
"Wells, Tyler","669330","BAL","2023","adj_xhr","23.66",5,19,9,"36","25",24.3,"0.7"
"Berríos, José","621244","TOR","2023","adj_xhr","24.1",8,23,11,"44","25",27.2,"-2.2"
"Flexen, Chris","623167","COL","2023","adj_xhr","23.29",6,14,9,"36","25",21.7,"3.3"
"Nelson, Ryne","669194","AZ","2023","adj_xhr","23.78",9,24,7,"28","25",26.1,"-1.1"
"Schmidt, Clarke","657376","NYY","2023","adj_xhr","23.18",8,18,9,"37.5","24",22.1,"1.9"
"Waldichuk, Ken","686610","ATH","2023","adj_xhr","23.34",9,19,9,"37.5","24",23.3,"0.7"
"Gibson, Kyle","502043","BAL","2023","adj_xhr","23.73",12,19,11,"45.8","24",25.2,"-1.2"
"Urías, Julio","628711","LAD","2023","adj_xhr","24.77",10,13,13,"54.2","24",23.5,"0.5"
"Kelly, Merrill","518876","AZ","2023","adj_xhr","23.43",10,19,7,"29.2","24",19.8,"4.2"
"López, Pablo","641154","MIN","2023","adj_xhr","22.88",11,16,7,"29.2","24",19.7,"4.3"
"Bello, Brayan","678394","BOS","2023","adj_xhr","23.99",10,24,5,"20.8","24",23.8,"0.2"
"Rea, Colin","607067","MIL","2023","adj_xhr","23.85",1,22,7,"30.4","23",21.9,"1.1"
"Wheeler, Zack","554430","PHI","2023","adj_xhr","24.13",10,10,12,"52.2","23",20.1,"2.9"
"Hill, Rich","448179","SD","2023","adj_xhr","23.12",6,20,11,"47.8","23",24.9,"-1.9"
"Bradley, Taj","671737","TB","2023","adj_xhr","23.46",1,17,7,"30.4","23",20.1,"2.9"
"Valdez, Framber","664285","HOU","2023","adj_xhr","23.8",16,16,10,"43.5","23",21.1,"1.9"
"Pivetta, Nick","601713","BOS","2023","adj_xhr","23.24",9,19,9,"39.1","23",22.1,"0.9"
"Heaney, Andrew","571760","TEX","2023","adj_xhr","23.66",6,18,9,"39.1","23",21.5,"1.5"
"Ashcraft, Graham","668933","CIN","2023","adj_xhr","23.35",6,14,7,"30.4","23",17.2,"5.8"
"Severino, Luis","622663","NYY","2023","adj_xhr","23.83",4,17,9,"39.1","23",23.6,"-0.6"
"Gray, Josiah","680686","WSH","2023","adj_xhr","23.98",8,18,10,"45.5","22",22.6,"-0.6"
"Canning, Griffin","656288","LAA","2023","adj_xhr","23.7",10,9,10,"45.5","22",18.3,"3.7"
"Alcantara, Sandy","645261","MIA","2023","adj_xhr","23.04",13,17,6,"27.3","22",19.1,"2.9"
"Luzardo, Jesús","666200","MIA","2023","adj_xhr","23.94",7,14,14,"63.6","22",24.4,"-2.4"
"Syndergaard, Noah","592789","CLE","2023","adj_xhr","23.86",6,18,7,"31.8","22",19.7,"2.3"
"Gray, Jon","592351","TEX","2023","adj_xhr","22.83",9,12,8,"36.4","22",18.1,"3.9"
"Kirby, George","669923","SEA","2023","adj_xhr","22.76",12,18,8,"36.4","22",21.2,"0.8"
"Elder, Bryce","693821","ATL","2023","adj_xhr","24.32",7,19,7,"33.3","21",20.6,"0.4"
"Eflin, Zach","621107","TB","2023","adj_xhr","23.49",12,17,8,"38.1","21",21,"0.0"
"Pérez, Martín","527048","TEX","2023","adj_xhr","23.15",3,18,8,"38.1","21",20.8,"0.2"
"Gausman, Kevin","592332","TOR","2023","adj_xhr","22.79",8,24,6,"28.6","21",24.5,"-3.5"
"Montgomery, Jordan","656756","TEX","2023","adj_xhr","22.71",13,24,7,"33.3","21",23,"-2.0"
"Dunning, Dane","641540","TEX","2023","adj_xhr","24.01",7,17,6,"28.6","21",17.7,"3.3"
"Verlander, Justin","434378","HOU","2023","adj_xhr","24.29",9,16,8,"38.1","21",19.5,"1.5"
