"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.6,7,"1143",38.8,"252","0.251","0.474","0.363",25.1,25.8,16.6,"0.253","0.508","0.372",53.6
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",-0.1,-1,"982",37.1,"252","0.204","0.374","0.329",18.8,18.7,20,"0.24","0.446","0.363",40.7
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.2,1,"918",38,"242","0.359","0.436","0.369",4,1.2,1.4,"0.335","0.432","0.348",21.2
"Donovan, Brendan",680977,"STL","FF","4-Seam Fastball",-0.9,-8,"910",36.6,"240","0.253","0.341","0.299",10,13.8,13.1,"0.268","0.439","0.337",37.6
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",0.8,8,"1013",36.9,"237","0.254","0.466","0.39",17.7,21.9,17.9,"0.255","0.444","0.378",53.6
"Semien, Marcus",543760,"TEX","FF","4-Seam Fastball",0.2,1,"760",28.9,"233","0.246","0.44","0.342",13,9,11.2,"0.282","0.506","0.377",45.2
"Bregman, Alex",608324,"HOU","FF","4-Seam Fastball",-0.1,-1,"794",33.2,"232","0.248","0.417","0.326",8.3,10.3,10.6,"0.253","0.454","0.341",42.2
"Adames, Willy",642715,"MIL","FF","4-Seam Fastball",-0.7,-6,"874",32,"230","0.218","0.379","0.305",29.9,27.4,23.2,"0.22","0.446","0.326",51
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",1.2,11,"911",33.1,"228","0.284","0.552","0.393",27.6,30.7,28.1,"0.246","0.504","0.362",53
"Winn, Masyn",691026,"STL","FF","4-Seam Fastball",0,0,"867",34,"227","0.263","0.414","0.349",14.8,11.5,10.4,"0.249","0.375","0.325",38.2
"Santander, Anthony",623993,"BAL","FF","4-Seam Fastball",-0.4,-4,"1073",39.2,"227","0.197","0.433","0.291",21.5,22,14.3,"0.195","0.396","0.284",36
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",0.3,3,"1019",37.6,"227","0.251","0.498","0.353",22.9,20.7,16.7,"0.281","0.614","0.406",58
"Schwarber, Kyle",656941,"PHI","FF","4-Seam Fastball",0.7,6,"887",31.1,"225","0.237","0.525","0.391",25.2,24.9,23.2,"0.273","0.635","0.44",60.5
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",1.2,12,"1040",36.6,"225","0.284","0.546","0.394",23.8,24,19.9,"0.251","0.489","0.358",50.3
"Suárez, Eugenio",553993,"AZ","FF","4-Seam Fastball",0.8,7,"866",34.1,"224","0.264","0.487","0.356",26.3,25,20.5,"0.249","0.505","0.361",46.5
"Cronenworth, Jake",630105,"SD","FF","4-Seam Fastball",-0.2,-3,"1116",40.6,"219","0.215","0.32","0.324",12.9,13.7,9,"0.256","0.427","0.364",41.1
"McMahon, Ryan",641857,"COL","FF","4-Seam Fastball",-0.4,-4,"1110",40.8,"218","0.243","0.395","0.335",26.4,34.9,20.5,"0.222","0.392","0.327",54.5
"Schanuel, Nolan",694384,"LAA","FF","4-Seam Fastball",-0.6,-5,"848",36,"217","0.219","0.337","0.316",8.6,13.8,13.6,"0.239","0.354","0.328",26.1
"Profar, Jurickson",595777,"SD","FF","4-Seam Fastball",0.6,6,"939",34.3,"215","0.251","0.446","0.371",15.4,15.3,11,"0.252","0.433","0.368",40.6
"Bleday, JJ",668709,"ATH","FF","4-Seam Fastball",0.8,6,"756",30.4,"215","0.283","0.508","0.387",14.8,12.1,12.4,"0.259","0.476","0.362",38.5
"Lowe, Nathaniel",663993,"TEX","FF","4-Seam Fastball",1.1,10,"921",39.1,"214","0.293","0.467","0.41",20.3,22,16,"0.27","0.437","0.393",38.8
"Henderson, Gunnar",683002,"BAL","FF","4-Seam Fastball",0.2,2,"945",32.6,"214","0.242","0.468","0.356",22.2,28,22.4,"0.262","0.496","0.373",58.7
"Castro, Willi",650489,"MIN","FF","4-Seam Fastball",0.2,2,"914",36.4,"213","0.225","0.385","0.332",22.9,22.5,17.2,"0.252","0.456","0.359",41.9
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",1.2,9,"777",30.8,"212","0.308","0.562","0.395",16.7,15.6,13.8,"0.279","0.553","0.391",44.6
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",0.3,3,"970",35.6,"211","0.271","0.48","0.381",22.6,21.3,14.6,"0.252","0.535","0.391",54.5
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",-0.3,-3,"802",31.9,"211","0.197","0.376","0.315",25.9,28,21.3,"0.211","0.464","0.348",53.3
"Burleson, Alec",676475,"STL","FF","4-Seam Fastball",-1.4,-10,"715",33.8,"210","0.206","0.32","0.269",20.8,13.3,13,"0.226","0.394","0.298",38.7
"Goldschmidt, Paul",502671,"STL","FF","4-Seam Fastball",0.2,2,"856",31.5,"210","0.241","0.461","0.347",26.2,27.6,19.2,"0.253","0.497","0.351",53
"Chapman, Matt",656305,"SF","FF","4-Seam Fastball",0.7,7,"912",33.7,"209","0.258","0.527","0.367",26.3,27.3,18.5,"0.244","0.521","0.36",52.3
"Ward, Taylor",621493,"LAA","FF","4-Seam Fastball",1.4,11,"799",30.8,"207","0.272","0.556","0.395",19.5,20.3,17.4,"0.276","0.637","0.421",50.4
"Rutschman, Adley",668939,"BAL","FF","4-Seam Fastball",-0.2,-1,"876",33.8,"207","0.266","0.446","0.354",13.4,13,10.9,"0.259","0.458","0.346",46.8
"Santana, Carlos",467793,"MIN","FF","4-Seam Fastball",-0.2,-2,"732",30.2,"207","0.24","0.457","0.354",19,12.6,13.9,"0.263","0.479","0.372",39.3
"Busch, Michael",683737,"CHC","FF","4-Seam Fastball",0.2,2,"867",36.7,"204","0.212","0.429","0.348",23.8,26,19.6,"0.222","0.49","0.362",46.2
"Tovar, Ezequiel",678662,"COL","FF","4-Seam Fastball",-1.1,-8,"808",32,"203","0.233","0.363","0.276",35.5,35.5,27,"0.208","0.347","0.255",42.3
"Bell, Josh",605137,"AZ","FF","4-Seam Fastball",0.4,3,"734",32.8,"201","0.257","0.419","0.346",19.1,16.4,19.5,"0.251","0.436","0.338",48.6
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0,0,"798",28.8,"201","0.18","0.389","0.323",28.8,35.3,25.1,"0.194","0.409","0.331",55.7
"Giménez, Andrés",665926,"CLE","FF","4-Seam Fastball",-0.6,-5,"743",31,"200","0.28","0.401","0.331",16.4,12.5,11.8,"0.285","0.427","0.343",37.1
"Naylor, Josh",647304,"CLE","FF","4-Seam Fastball",1.9,11,"610",26.7,"200","0.264","0.545","0.381",10.5,11.5,14.2,"0.289","0.508","0.377",49
"Reynolds, Bryan",668804,"PIT","FF","4-Seam Fastball",1.3,9,"720",27.6,"199","0.316","0.546","0.414",18.1,15.6,15.1,"0.302","0.6","0.421",56.6
"Alvarez, Yordan",670541,"HOU","FF","4-Seam Fastball",1.3,11,"815",36,"198","0.314","0.541","0.413",14.9,13.6,13.9,"0.302","0.57","0.413",52.4
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",2.3,19,"809",28.5,"198","0.287","0.616","0.438",27.5,21.7,19.1,"0.314","0.703","0.473",64.8
"Judge, Aaron",592450,"NYY","FF","4-Seam Fastball",4.6,36,"778",27,"197","0.381","0.813","0.546",22.9,23.4,19.9,"0.329","0.792","0.509",68.7
"Torres, Gleyber",650402,"NYY","FF","4-Seam Fastball",-0.1,-1,"853",30.3,"197","0.227","0.38","0.336",23.5,21.3,13.6,"0.224","0.44","0.354",50
"Rooker, Brent",667670,"ATH","FF","4-Seam Fastball",1.9,14,"747",31.4,"196","0.288","0.594","0.412",27.6,27.6,23.8,"0.293","0.662","0.432",50
"Taveras, Leody",665750,"TEX","FF","4-Seam Fastball",-1.5,-10,"690",34.4,"195","0.225","0.315","0.272",19.5,22.6,20.7,"0.231","0.375","0.296",44.9
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",-1.6,-14,"881",34.8,"195","0.184","0.31","0.249",35,33.8,23.9,"0.206","0.399","0.3",62.5
"Hoerner, Nico",663538,"CHC","FF","4-Seam Fastball",-0.8,-5,"698",30.2,"195","0.26","0.343","0.325",8.4,9.7,10.4,"0.289","0.38","0.344",37.1
"India, Jonathan",663697,"CIN","FF","4-Seam Fastball",-0.3,-2,"844",31.8,"194","0.248","0.376","0.339",18.7,21.6,17.9,"0.25","0.451","0.366",43.7
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",-0.7,-5,"706",34.5,"193","0.282","0.345","0.326",11.3,10.9,10.2,"0.259","0.334","0.3",22.6
"Garcia, Maikel",672580,"KC","FF","4-Seam Fastball",-1.8,-14,"813",34.4,"192","0.209","0.297","0.267",17.1,21.9,18.3,"0.268","0.397","0.329",56.8
"Chisholm Jr., Jazz",665862,"NYY","FF","4-Seam Fastball",0.9,6,"748",30,"192","0.257","0.45","0.343",25.6,22.9,21.2,"0.229","0.447","0.334",46.1
"Heim, Jonah",641680,"TEX","FF","4-Seam Fastball",-1,-7,"697",39.1,"191","0.229","0.32","0.278",19.6,19.9,20,"0.236","0.377","0.3",40.9
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",1,8,"789",36.4,"191","0.35","0.537","0.431",4.5,5.2,5.9,"0.302","0.405","0.366",26.3
"Ozuna, Marcell",542303,"ATL","FF","4-Seam Fastball",1.9,16,"823",28.6,"191","0.349","0.592","0.441",25.6,24.6,17.3,"0.285","0.591","0.408",57.4
"De La Cruz, Bryan",650559,"PIT","FF","4-Seam Fastball",0.1,1,"689",28.8,"191","0.232","0.446","0.314",29.6,31.4,27.9,"0.245","0.506","0.338",50.4
"Arenado, Nolan",571448,"STL","FF","4-Seam Fastball",-0.4,-3,"783",31.9,"190","0.274","0.402","0.321",14.3,15.8,13.3,"0.245","0.355","0.286",32.2
"Doyle, Brenton",686668,"COL","FF","4-Seam Fastball",-1.2,-8,"643",29.8,"190","0.221","0.349","0.278",28.5,29.5,27.9,"0.23","0.42","0.307",49.6
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",-0.3,-2,"681",31.9,"190","0.259","0.365","0.3",9.4,12.1,12.2,"0.256","0.423","0.32",44.4
