Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"David Hale","NYY",0.2982456140350877,1.263157894,0.245614035,0.421052631,0.333333333,0.105263157,0,99,162,261,0.31578947,0.36842105,0.31578947,0.21052632,0.45614035,0.33333333,"David Hale",9756,571735
"Jameson Taillon","PIT",0.2413793103448276,2.636363636,0.322033898,0.491525423,0.186440677,0.181818181,0.181818181,107,204,311,0.4,0.35,0.25,0.18333333,0.48333333,0.33333333,"Jameson Taillon",11674,592791
"Carlos Martinez","STL",0.32075471698113206,2,0.207547169,0.528301886,0.264150943,0,0.071428571,117,208,325,0.46296296,0.2962963,0.24074074,0.12962963,0.53703704,0.33333333,"Carlos Martinez",11682,593372
"Noah Syndergaard","NYM",0.3041825095057034,1.15625,0.247272727,0.403636363,0.349090909,0.09375,0.135416666,465,960,1425,0.40217391,0.33333333,0.26449275,0.17028986,0.49637681,0.33333333,"Noah Syndergaard",11762,592789
"Taylor Cole","LAA",0.3384615384615385,4.625,0.318181818,0.56060606,0.121212121,0,0.125,158,251,409,0.45454545,0.37878788,0.16666667,0.27272727,0.39393939,0.33333333,"Taylor Cole",11964,518566
"DJ Johnson","COL",0.4,1.75,0.266666666,0.466666666,0.266666666,0,0,79,133,212,0.4,0.36666667,0.23333333,0.23333333,0.43333333,0.33333333,"DJ Johnson",12578,597113
"Ryan Yarbrough","TBR",0.2653061224489796,1.305555555,0.178217821,0.465346534,0.356435643,0.111111111,0.111111111,198,339,537,0.35294118,0.39215686,0.25490196,0.16666667,0.5,0.33333333,"Ryan Yarbrough",16502,642232
"Brock Stewart","- - -",0.3191489361702128,0.607142857,0.166666666,0.314814814,0.518518518,0.035714285,0.25,96,164,260,0.40740741,0.31481481,0.27777778,0.22222222,0.44444444,0.33333333,"Brock Stewart",16727,592779
"Jeff Hoffman","COL",0.28421052631578947,0.790697674,0.214285714,0.346938775,0.43877551,0.069767441,0.162790697,262,446,708,0.39215686,0.33333333,0.2745098,0.18627451,0.48039216,0.33333333,"Jeff Hoffman",17432,656546
"Kenta Maeda","LAD",0.28431372549019607,1.484848484,0.233644859,0.457943925,0.308411214,0.03030303,0.166666666,466,774,1240,0.4,0.34883721,0.25116279,0.16744186,0.50232558,0.33023256,"Kenta Maeda",18498,628317
"Will Harris","HOU",0.26744186046511625,3.928571428,0.206896551,0.632183908,0.16091954,0.071428571,0.142857142,180,325,505,0.39772727,0.375,0.22727273,0.19318182,0.47727273,0.32954545,"Will Harris",3192,501789
"Freddy Peralta","MIL",0.32894736842105265,0.617647058,0.285714285,0.272727272,0.441558441,0.117647058,0.088235294,250,410,660,0.3164557,0.32911392,0.35443038,0.17721519,0.49367089,0.32911392,"Freddy Peralta",18679,642547
"Tyler Webb","STL",0.1891891891891892,1.068965517,0.210526315,0.407894736,0.381578947,0.068965517,0.068965517,195,296,491,0.38157895,0.35526316,0.26315789,0.14473684,0.52631579,0.32894737,"Tyler Webb",14974,643778
"Kelvin Herrera","CHW",0.3384615384615385,1,0.21875,0.390625,0.390625,0.16,0.08,141,218,359,0.40298507,0.23880597,0.35820896,0.19402985,0.47761194,0.32835821,"Kelvin Herrera",6033,516969
"Tommy Kahnle","NYY",0.29508196721311475,1.666666666,0.272727272,0.454545454,0.272727272,0.055555555,0.333333333,170,345,515,0.46268657,0.32835821,0.20895522,0.19402985,0.47761194,0.32835821,"Tommy Kahnle",11384,592454
"Mitch Keller","PIT",0.5,1.09090909,0.292307692,0.369230769,0.338461538,0.09090909,0.136363636,151,277,428,0.37313433,0.28358209,0.34328358,0.17910448,0.49253731,0.32835821,"Mitch Keller",17594,656605
"Scott Oberg","COL",0.29310344827586204,2.066666666,0.220338983,0.525423728,0.254237288,0.066666666,0.2,168,272,440,0.40983607,0.37704918,0.21311475,0.21311475,0.45901639,0.32786885,"Scott Oberg",13911,623184
"Wade Davis","COL",0.3620689655172414,0.956521739,0.224137931,0.379310344,0.396551724,0.173913043,0,167,212,379,0.43103448,0.29310345,0.27586207,0.15517241,0.51724138,0.32758621,"Wade Davis",7441,451584
"Michael Lorenzen","CIN",0.23863636363636365,1.555555555,0.224719101,0.471910112,0.303370786,0.037037037,0.148148148,208,359,567,0.39130435,0.30434783,0.30434783,0.14130435,0.5326087,0.32608696,"Michael Lorenzen",14843,547179
"Tyler Chatwood","CHC",0.3953488372093023,2.928571428,0.382022471,0.460674157,0.15730337,0.071428571,0.214285714,227,356,583,0.33707865,0.35955056,0.30337079,0.2247191,0.4494382,0.3258427,"Tyler Chatwood",4338,543022
"Marcus Stroman","- - -",0.34385964912280703,2.225352112,0.207612456,0.546712802,0.24567474,0.14084507,0.154929577,611,972,1583,0.42711864,0.28474576,0.28813559,0.19661017,0.4779661,0.32542373,"Marcus Stroman",13431,573186
