"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"López, Pablo",641154,"MIN","ST","Sweeper",-0.4,-3,"654",21.9,"176","0.239","0.436","0.321",33.1,33,21.6,"0.194","0.338","0.26",35.5
"Finnegan, Kyle",640448,"WSH","FF","4-Seam Fastball",-0.1,-1,"721",67.6,"176","0.286","0.429","0.347",19.9,19.9,13.7,"0.283","0.442","0.345",48.4
"Robertson, David",502085,"TEX","FC","Cutter",2.2,17,"768",63.4,"175","0.163","0.209","0.239",30.8,37.7,27,"0.176","0.267","0.253",39.8
"Skubal, Tarik",669373,"DET","SI","Sinker",1.5,9,"584",20.6,"174","0.207","0.305","0.245",16,24.7,23.6,"0.21","0.313","0.252",36.9
"Rainey, Tanner",663432,"WSH","FF","4-Seam Fastball",-0.5,-3,"666",70.9,"174","0.255","0.49","0.376",19.7,16.1,14.7,"0.233","0.535","0.376",44.3
"Marsh, Alec",679525,"KC","FF","4-Seam Fastball",0.4,3,"799",37,"173","0.197","0.375","0.304",22,28.3,20.6,"0.209","0.411","0.316",37.9
"Harris, Hogan",663687,"ATH","FF","4-Seam Fastball",0.1,1,"679",56,"172","0.262","0.411","0.365",17,16.9,14.9,"0.304","0.545","0.42",47.8
"Mikolas, Miles",571945,"STL","SL","Slider",-0.6,-4,"656",24.3,"171","0.301","0.506","0.356",16.7,16.4,15.1,"0.304","0.472","0.342",40.3
"Vesia, Alex",681911,"LAD","FF","4-Seam Fastball",1.1,8,"700",63.1,"170","0.15","0.357","0.295",28.4,28.8,21,"0.16","0.409","0.312",40.9
"Peterson, David",656849,"NYM","SI","Sinker",1.1,6,"585",31.3,"170","0.253","0.36","0.331",15.8,11.8,21.5,"0.29","0.432","0.359",43.5
"Kremer, Dean",665152,"BAL","FF","4-Seam Fastball",-0.7,-5,"700",32.2,"170","0.247","0.5","0.375",23.1,26.5,20.1,"0.242","0.546","0.378",46.1
"Pivetta, Nick",601713,"BOS","ST","Sweeper",-0.4,-3,"613",25.7,"170","0.22","0.415","0.276",35.1,35.3,24.4,"0.188","0.332","0.232",27.4
"Bibee, Tanner",676440,"CLE","FC","Cutter",1.9,14,"736",25.8,"170","0.144","0.235","0.225",36.2,31.8,23,"0.176","0.293","0.251",26.5
"Allen, Logan",671106,"CLE","FF","4-Seam Fastball",-1.6,-10,"622",37.4,"169","0.322","0.559","0.4",14.6,15.4,16.6,"0.294","0.538","0.388",50
"Blach, Ty",621389,"COL","SI","Sinker",-3.6,-21,"576",50.8,"168","0.388","0.684","0.486",9,11.3,14.3,"0.338","0.668","0.449",45.2
"Mikolas, Miles",571945,"STL","FF","4-Seam Fastball",0,0,"755",27.9,"168","0.295","0.455","0.357",17.8,13.7,10.4,"0.272","0.492","0.346",52.6
"Taillon, Jameson",592791,"CHC","FC","Cutter",2.4,15,"622",25.1,"168","0.252","0.31","0.277",19.1,14.3,23.8,"0.262","0.413","0.319",36.1
"Kimbrel, Craig",518886,"BAL","FF","4-Seam Fastball",-0.1,-1,"633",65.7,"167","0.203","0.421","0.34",28.9,32.9,27.8,"0.206","0.412","0.34",46.9
"Montero, Keider",672456,"DET","FF","4-Seam Fastball",0.1,0,"638",41.5,"166","0.272","0.49","0.367",18,17.5,16.5,"0.312","0.52","0.395",49.2
"Paddack, Chris",663978,"MIN","FF","4-Seam Fastball",0.7,4,"626",42.9,"166","0.277","0.4","0.317",24.3,28.3,24.4,"0.246","0.394","0.303",48.6
"López, Pablo",641154,"MIN","CH","Changeup",-0.1,0,"599",20.1,"166","0.281","0.359","0.309",24.9,19.9,18.3,"0.26","0.355","0.301",24.8
"Quintana, Jose",500779,"NYM","CU","Curveball",-0.5,-3,"616",21.9,"165","0.265","0.444","0.34",26.4,19.4,19.4,"0.268","0.43","0.334",33.3
"Snell, Blake",605483,"SF","FF","4-Seam Fastball",1,9,"821",46.3,"165","0.201","0.306","0.284",24.4,24.8,20.9,"0.193","0.347","0.295",33
"Littell, Zack",641793,"TB","FS","Split-Finger",-0.9,-5,"576",23.2,"164","0.258","0.423","0.299",34.4,29.3,18.3,"0.243","0.379","0.271",37.4
"Rogers, Trevor",669432,"BAL","FF","4-Seam Fastball",-0.1,-1,"711",31.7,"164","0.25","0.463","0.346",23.3,23.8,17.9,"0.231","0.498","0.353",48.5
"Scott, Tanner",656945,"SD","FF","4-Seam Fastball",2,14,"688",59.2,"162","0.134","0.179","0.231",28.9,29,21.1,"0.184","0.261","0.275",28.9
"Kirby, George",669923,"SEA","SL","Slider",1.4,10,"702",23.7,"162","0.226","0.316","0.253",27.1,22.8,22.6,"0.235","0.395","0.292",32.5
"Walker, Ryan",676254,"SF","SI","Sinker",1.8,12,"667",54.7,"162","0.201","0.264","0.267",18.8,26.5,22.3,"0.209","0.321","0.281",37.3
"Lodolo, Nick",666157,"CIN","SI","Sinker",0.6,3,"532",28.6,"162","0.27","0.438","0.37",17.3,9.9,18.2,"0.265","0.408","0.353",38
"Castillo, Luis",622491,"SEA","SI","Sinker",-0.6,-3,"516",18.1,"162","0.295","0.456","0.371",10.5,11.7,16.2,"0.299","0.453","0.357",42.3
"Adams, Austin",613534,"ATH","SL","Slider",-0.3,-2,"594",73.8,"161","0.246","0.346","0.341",39.3,32.3,24.9,"0.197","0.272","0.297",27.5
"Ortiz, Luis",682847,"PIT","SI","Sinker",0.6,3,"554",25.9,"161","0.237","0.374","0.333",12.8,5.6,11.4,"0.284","0.493","0.383",44.7
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",0,0,"704",51.5,"161","0.286","0.421","0.362",22,18,14.6,"0.275","0.457","0.359",41.6
"Bradford, Cody",674003,"TEX","FF","4-Seam Fastball",2.1,13,"615",52.3,"161","0.185","0.344","0.255",21.3,23.6,19.1,"0.214","0.394","0.283",37.7
"Pop, Zach",647315,"TOR","SI","Sinker",-0.5,-3,"540",72.7,"159","0.254","0.415","0.363",21.8,16.4,20.6,"0.279","0.454","0.361",50.4
"Alvarado, José",621237,"PHI","SI","Sinker",0.2,1,"623",59.2,"159","0.255","0.416","0.346",16.2,10.7,13.6,"0.294","0.477","0.383",43
